Batch,Original Name,Random Name ,quality,n ,nMLH1.foci,REDO.crop,XY.paired,achiasmate,asynased,notes,n0CO,n1CO,n2CO,n3CO,n4CO,biv.sum.check,MLH1.sum.check,MLH1.dif,same_count,notes.2,
batch8,14dec17_18nov17_WSB_f3_sp1_19_rev.tif,27743-24072-12399.tif,2,20,35,no,,0,0,,2,7,10,1,0,20,30,-5,FALSE,,
Batch3,4feb17_20dec16_LEW_m3_sp1_19_rev.tif,1748-31292-4142.tif,2,20,28,,y,0,0,green foci in centromeres,0,8,10,1,0,19,31,3,FALSE,,
Batch15,18jul19_31may19_SKIVE_m2_sp1_20_rev.tif,972-32305-6998.tif,2,20,32,no,yes,0,0,,0,7,11,1,0,19,32,0,TRUE,,
Batch9,11feb18_1feb18_MSM_m1_sp1_1_rev.tif,23605-14036-29919.tif,3,20,34,no,yes,0,0,,0,5,12,1,0,18,32,-2,FALSE,,
Batch0,11mar15_28feb15_PWD_f6_sp1_9.2_rev.tif,9215-28359-12323.tif,2,20,24,yes,na,1,0,,1,13,4,2,0,20,27,3,FALSE,,
Batch9,11feb18_1feb18_MSM_m1_sp1_11_rev.tif,23302-2098-30388.tif,2,20,31,no,yes,0,0,,0,8,9,2,0,19,32,1,FALSE,,
Batch4,29nov16_13nov16_MSM_f1_sp1_6_rev.tif,12655-12294-32599.tif,1,20,32,,,0,0,,0,9,9,2,0,20,33,1,FALSE,,
Batch3,29nov16_13nov16_MSM_m2_sp1_11_rev.tif,4017-9476-2260.tif,3,20,36,,y,0,0,tangle of cells,0,4,9,3,0,16,31,-5,FALSE,,
Batch9,6mar18_1feb18_LEW_m1_sp1_21.2_rev.tif,12399-6959-20262.tif,1,20,20,no,yes,0,0,,0,18,1,0,0,19,20,0,TRUE,,
Batch11,5jun18_21may18_KAZ_m2_sp1_10.4_rev.tif,24603-17590-1373.tif,3,20,20,no,yes,1,0,,1,15,2,0,0,18,19,-1,FALSE,,
Batch0,27aug15_12jun15_WSB_m2_sp1_10_rev.tif,30568-17748-30422.tif,2,20,21,no,yes,0,0,,1,16,2,0,0,19,20,-1,FALSE,,
Batch0,11mar15_28feb15_PWD_f6_sp1_2.1_rev.tif,5-25690-27028.tif,3,20,21,no,na,1,1,1 non synapsed chrom,1,17,2,0,0,20,21,0,TRUE,,
Batch11,21jun18_18feb18_LEW_m3_sp2_5_rev.tif,24861-32561-28924.tif,4,20,20,no,yes,1,0,,2,15,2,0,0,19,19,-1,FALSE,,
Batch0,27aug15_12jun15_WSB_m2_sp1_18_rev.tif,10607-18245-4579.tif,5,20,19,no,yes,1,0,high background,3,14,2,0,0,19,18,-1,FALSE,,
batch8,5aug17_14jul17_LEW_f1_sp1_1_rev.tif,27364-30386-6548.tif,3,20,22,no,,2,0,,3,15,2,0,0,20,19,-3,FALSE,,
Batch0,19may15_31mar15_WSB_m1_sp1_2_rev.tif,24618-23641-36.tif,3,20,27,no,na,0,0,nonhomolog tangle,0,17,2,0,0,19,21,-6,FALSE,,
Batch9,22feb18_1feb18_KAZ_m1_sp1_26.2_rev.tif,24652-15587-2205.tif,2,20,21,no,yes,0,0,,0,16,3,0,0,19,22,1,FALSE,,
Batch11,3jul18_19may18_KAZ_m1_sp1_24_rev.tif,31192-19471-21366.tif,1,20,22,no,yes,1,0,,1,15,3,0,0,19,21,-1,FALSE,,
Batch11,29aug18_7aug18_AST_m1_sp1_15_rev.tif,18953-27194-9566.tif,3,20,23,no,yes,1,0,,1,15,3,0,0,19,21,-2,FALSE,,
Batch14,13apr18_1feb18_KAZ_f6_sp1_33_rev.tif,7319-19888-29035.tif,5,20,19,no,,1,0,,1,16,3,0,0,20,22,3,FALSE,,
Batch14,10jun19_31may19_SKIVE_f6_sp1_43_rev.tif,837-26711-8701.tif,4,20,25,no,,0,2,,1,16,3,0,0,20,22,-3,FALSE,,
Batch4,12jan17_4jan17_LEW_f1_sp1_6_rev.tif,21717-26903-1856.tif,1,20,22,,,1,0,,1,16,3,0,0,20,22,0,TRUE,,
Batch15,8jan15_30dec14_WSB_m2_sp1_19_rev.tif,14304-876-25261.tif,3,20,23,yes,yes,0,0,crop lower left,2,14,3,0,0,19,20,-3,FALSE,,
Batch11,3mar15_13jan17_LEW_m1_sp1_25_rev.tif,12876-32474-25423.tif,3,20,19,no,yes,3,0,,2,14,3,0,0,19,20,1,FALSE,,
Batch14,10jun19_31may19_SKIVE_f6_sp1_45_rev.tif,12788-31355-16736.tif,4,20,23,no,,0,1,,2,15,3,0,0,20,21,-2,FALSE,,
Batch4,22nov16_30sep16_MSM_f2_sp1_2_rev.tif,22125-19790-28154.tif,3,20,24,,,0,0,some foci kinda faint,0,14,3,0,0,17,20,-4,FALSE,,
Batch15,18jul19_31may19_SKIVE_m2_sp1_10.1_rev.tif,28526-1352-32252.tif,4,20,23,no,yes,0,0,,0,15,3,0,0,18,21,-2,FALSE,,
Batch9,6mar18_1feb18_LEW_m1_sp1_16_rev.tif,5803-10606-6629.tif,3,20,24,no,yes,0,0,,0,16,3,0,0,19,22,-2,FALSE,,
Batch0,9mar16_3nov15_WSB_f1_sp3_25_rev.tif,12835-23620-24389.tif,3,20,23,no,na,0,0,SC kinda kinky,0,17,3,0,0,20,23,0,TRUE,,
Batch9,7feb18_11jan18_KAZ_m4_sp1_26.1_rev.tif,7506-23962-8170.tif,3,20,20,no,yes,1,0,,1,14,4,0,0,19,22,2,FALSE,,
Batch6,2jul17_20dec16_LEW_m2_sp1_7_rev.tif,4237-9567-13390.tif,2,20,23,no,,0,0,,1,14,4,0,0,19,22,-1,FALSE,,
Batch0,19oct15_12oct15_G_m1_sp1_6_rev.tif,28002-16449-3665.tif,3,20,22,no,yes,0,0,,1,14,4,0,0,19,22,0,TRUE,,
Batch9,10jun15_24mar15_G_m1_sp1_11_rev.tif,32232-21602-1287.tif,2,20,21,yes,yes,1,0,,1,14,4,0,0,19,22,1,FALSE,,
Batch13,21mar15_14mar15_G_m2_sp1_21.1_rev.tif,2563-13911-14351.tif,3,20,21,no,yes,1,0,,2,13,4,0,0,19,21,0,TRUE,,
batch10,24jan18_31dec17_MSM_f3_sp1_9_rev.tif,8715-5504-2725.tif,3,20,23,no,,1,0,,2,14,4,0,0,20,22,-1,FALSE,,
batch12,9apr18_1feb18_LEW_f1_sp1_20_rev.tif,29670-30530-21492.tif,4,20,21,no,,3,0,,3,13,4,0,0,20,21,0,TRUE,,
Batch13,29mar15_25sep14_G_m1_sp2_5_rev.tif,1055-3270-8206.tif,5,20,24,no,yes,1,0,1 SC broken,4,11,4,0,0,19,19,-5,FALSE,,
Batch13,21mar15_14mar15_G_m2_sp1_21.2_rev.tif,25663-15192-5126.tif,4,20,24,yes (little near the bottom),yes,0,0,,4,11,4,0,0,19,19,-5,FALSE,,
Batch9,26jan18_11jan18_KAZ_m3_sp1_14_rev.tif,26076-7262-9497.tif,2,20,22,no,yes,0,0,,0,15,4,0,0,19,23,1,FALSE,,
Batch6,8feb17_20dec16_LEW_m1_sp1_15.2_rev.tif,8788-25254-7311.tif,4,20,22,yes,,1,0,,1,13,5,0,0,19,23,1,FALSE,,
batch10,16feb18_1feb18_KAZ_f4_sp1_23_rev.tif,15211-13915-26099.tif,2,20,22,no,,1,0,,1,14,5,0,0,20,24,2,FALSE,,
Batch14,13apr18_1feb18_KAZ_f6_sp1_32_rev.tif,14775-318-11433.tif,1,20,25,no,,0,0,,1,14,5,0,0,20,24,-1,FALSE,,
Batch15,10apr15_31mar15_WSB_m3_sp1_4_rev.tif,9991-19390-9957.tif,2,20,23,no,yes,0,0,,0,14,5,0,0,19,24,1,FALSE,,
Batch9,5jul17_8may17_LEW_m1_sp1_14_rev.tif,676-15471-17820.tif,2,20,23,yes,yes,0,0,,0,14,5,0,0,19,24,1,FALSE,,
Batch15,4jun19_28sep18_TOM_m1_sp1_3_rev.tif,15103-26549-10566.tif,3,20,25,no,yes,0,0,,0,14,5,0,0,19,24,-1,FALSE,,
Batch0,20jul15_18may15_PWD_m2_sp1_4_rev.tif,3353-23568-10708.tif,2,20,26,no,yes,1,0,non homolog tangle,1,11,6,0,0,18,23,-3,FALSE,I think this also has the wrong number of chrms,
Batch11,3jul18_19may18_KAZ_m1_sp1_3.2_rev.tif,3-32622-25252.tif,2,20,25,no,yes,0,0,,1,12,6,0,0,19,24,-1,FALSE,,
Batch13,5jan19_27oct18_SKIVE_m2_sp1_24_rev.tif,22344-24547-16450.tif,3,20,25,no,yes,0,0,,1,12,6,0,0,19,24,-1,FALSE,,
Batch3,30nov16_13nov16_LEW_m1_sp1_12_rev.tif,10028-28252-27591.tif,4,20,23,,y,1,0,,1,12,6,0,0,19,24,1,FALSE,,
Batch11,27jun18_8jun18_AST_m1_sp1_14.1_rev.tif,25185-16731-15762.tif,3,20,24,yes,yes,2,0,,1,12,6,0,0,19,24,0,TRUE,,
Batch4,19jan17_4jan17_LEW_f6_sp1_23_rev.tif,26011-21187-17507.tif,1,20,24,,,1,1,,2,12,6,0,0,20,24,0,TRUE,,
Batch4,19jan17_4jan17_LEW_f6_sp1_7_rev.tif,9952-11113-10261.tif,3,20,23,,,3,4,,3,11,6,0,0,20,23,0,TRUE,,
Batch4,22nov16_13nov16_MSM_f2_sp1_17_rev.tif,9725-18341-3447.tif,2,20,28,,,0,3,,0,13,6,0,0,19,25,-3,FALSE,,
Batch6,3aug17_8may17_LEW_m2_sp1_5_rev.tif,4378-4841-11406.tif,2,20,23,no,,1,0,,0,13,6,0,0,19,25,2,FALSE,,
Batch6,16aug17_5jul17_MSM_m1_sp1_21_rev.tif,10148-21960-17917.tif,1,20,25,no,,0,0,,0,12,7,0,0,19,26,1,FALSE,,
Batch13,2nov15_16sep15_WSB_m1_sp1_12_rev.tif,4084-23653-23153.tif,2,20,28,no,yes,0,0,,0,12,7,0,0,19,26,-2,FALSE,,
Batch11,3jul18_8jun18_AST_m1_sp1_16_rev.tif,31927-22560-21284.tif,1,20,25,no,yes,1,0,,0,12,7,0,0,19,26,1,FALSE,,
Batch0,9mar16_22feb16_G_m1_sp1_21.1_rev.tif,14966-11259-28867.tif,1,20,26,no,yes,0,0,,0,12,7,0,0,19,26,0,TRUE,,
Batch14,13apr18_1feb18_KAZ_f6_sp1_28_rev.tif,26814-17612-25412.tif,4,20,27,no,,0,0,,0,13,7,0,0,20,27,0,TRUE,,
Batch13,5jan19_27oct18_SKIVE_m2_sp1_20_rev.tif,12484-2451-27903.tif,4,20,26,no,yes,1,0,,0,11,8,0,0,19,27,1,FALSE,,
Batch15,4jun19_28sep18_TOM_m1_sp1_23_rev.tif,19778-6136-12327.tif,4,20,29,no,yes,1,0,,1,10,8,0,0,19,26,-3,FALSE,,
batch8,11dec17_18nov17_WSB_f1_sp1_3_rev.tif,14663-3573-5127.tif,2,20,30,no,,1,0,,2,10,8,0,0,20,26,-4,FALSE,,
Batch3,29nov16_13nov16_MSM_m2_sp1_21_rev.tif,7623-15742-6329.tif,3,20,29,,y,0,0,possbile duplicate,0,11,8,0,0,19,27,-2,FALSE,,
Batch3,1mar16_3jan16_G_m2_sp1_21.2_rev.tif,18937-13885-11722.tif,1,20,26,,y,0,0,,0,11,8,0,0,19,27,1,FALSE,,
Batch3,1mar16_3jan16_G_m2_sp1_16_rev.tif,6741-30834-11296.tif,1,20,26,n,y,0,0,,0,11,8,0,0,19,27,1,FALSE,,
Batch14,10jun19_31may19_SKIVE_f6_sp1_46_rev.tif,10802-6767-24591.tif,3,20,28,no,,0,0,,0,12,8,0,0,20,28,0,TRUE,,
Batch13,5jan19_27oct18_SKIVE_m2_sp1_29_rev.tif,6539-15508-14205.tif,3,20,26,no,yes,0,0,,0,10,9,0,0,19,28,2,FALSE,,
Batch14,10jun19_31may19_SKIVE_f6_sp1_52_rev.tif,3973-31605-6559.tif,3,20,29,no,,0,0,slight broken SC,0,11,9,0,0,20,29,0,TRUE,,
Batch14,10jun19_31may19_SKIVE_f6_sp1_48_rev.tif,23498-720-19024.tif,3,20,29,no,,0,0,re-count,0,10,9,0,0,19,28,-1,FALSE,,
Batch13,11jan19_27oct18_SKIVE_m1_sp1_1.1_rev.tif,13426-26419-12213.tif,1,20,29,no,yes,0,0,,0,9,10,0,0,19,29,0,TRUE,,
Batch6,16aug17_5jul17_MSM_m1_sp1_3_rev.tif,21045-20465-12938.tif,1,20,31,no,,1,0,,1,4,10,0,0,15,24,-7,FALSE,,
Batch9,5jul17_8may17_LEW_m1_sp1_9_rev.tif,29167-16474-18452.tif,4,20,28,no,yes,1,0,,2,7,10,0,0,19,27,-1,FALSE,,
Batch3,30nov16_13nov16_MSM_m1_sp1_29.2_rev.tif,1844-24401-21635.tif,2,20,30,,y,0,0,,0,9,10,0,0,19,29,-1,FALSE,,
batch10,8feb18_1feb18_KAZ_f1_sp1_21_rev.tif,30378-7280-6687.tif,2,20,30,no,,0,1,,0,10,10,0,0,20,30,0,TRUE,,
Batch14,10jun19_31may19_SKIVE_f6_sp1_25_rev.tif,31464-15372-31778.tif,2,20,30,no,,0,3,,0,10,10,0,0,20,30,0,TRUE,,
Batch0,20jul15_18may15_PWD_m1_sp1_15.1_rev.tif,27640-10606-24265.tif,1,20,30,no,yes,0,0,nonhomlog tangle,0,8,11,0,0,19,30,0,TRUE,,
Batch0,22mar15_10mar15_PWD_m1_sp1_5.2_rev.tif,5401-24137-19486.tif,3,20,30,yes,yes,0,0,nonhomlog tangle,0,8,11,0,0,19,30,0,TRUE,,
Batch15,18jul19_31may19_SKIVE_m2_sp1_22.2_rev.tif,13964-16747-24062.tif,3,20,27,yes,yes,0,0,,0,8,11,0,0,19,30,3,FALSE,,
Batch14,10jun19_31may19_SKIVE_f6_sp1_29_rev.tif,22656-17599-16639.tif,2,20,30,no,,0,1,,0,9,11,0,0,20,31,1,FALSE,,
Batch9,11feb18_1feb18_MSM_m1_sp1_16.3_rev.tif,12401-23219-15825.tif,2,20,30,no,yes,1,0,,1,7,11,0,0,19,29,-1,FALSE,,
Batch6,16aug17_5jul17_MSM_m1_sp1_17_rev.tif,32714-4400-14977.tif,2,20,24,no,,0,0,possible diplicate?,0,8,11,0,0,19,30,6,FALSE,,
Batch0,20jul15_18may15_PWD_m2_sp1_8_rev.tif,20472-20153-17016.tif,1,20,32,no,yes,0,0,,0,7,12,0,0,19,31,-1,FALSE,,
Batch0,20jul15_18may15_PWD_m2_sp1_12_rev.tif,28502-5579-9708.tif,2,20,31,no,yes,1,0,,1,6,12,0,0,19,30,-1,FALSE,,
batch10,26jan18_31dec17_MSM_f4_sp1_26_rev.tif,8733-27825-10544.tif,3,20,31,no,,1,0,,1,7,12,0,0,20,31,0,TRUE,,
Batch3,30nov16_13nov16_MSM_m1_sp1_13.2_rev.tif,7570-19701-18344.tif,2,20,30,,y,0,0,staggered centromeres. possible duplicate?,0,6,13,0,0,19,32,2,FALSE,,
Batch9,11feb18_1feb18_MSM_m1_sp1_16.1_rev.tif,26996-17568-15814.tif,3,20,36,no,yes,0,0,,0,2,17,0,0,19,36,0,TRUE,,
Batch15,18mar15_10mar15_WSB_m1_sp1_6_rev.tif,20158-10054-19570.tif,4,20,18,no,yes,1,0,,1,18,0,0,0,19,18,0,TRUE,,
