Var1	Var2	Freq	ID	strain	DOB	notes	mouse.1	euth.date	age.days	age.weeks	subsp	sex	category
20feb16_G_f3	Batch0	26		G	NA	17.5	20feb16_G_f3	2/20/2016	NA	NA	Dom	female	G female
8jun15_G_f3	batch12	49		G	NA		8jun15_G_f3	6/8/2015	NA	NA	Dom	female	G female
8jun15_G_f4	batch12	61		G	NA		8jun15_G_f4	6/8/2015	NA	NA	Dom	female	G female
13oct14_G_f3	NA	NA		G	NA		13oct14_G_f3	10/13/2014	NA	NA	Dom	female	G female
13oct14_G_f4	NA	NA		G	NA		13oct14_G_f4	10/13/2014	NA	NA	Dom	female	G female
16jan16_G_f3	NA	NA		G	1/16/2016		16jan16_G_f3	1/16/2016	0	0	Dom	female	G female
20feb16_G_f1	NA	NA		G	NA	17.5	20feb16_G_f1	2/20/2016	NA	NA	Dom	female	G female
20feb16_G_f2	NA	NA		G	NA	17.5	20feb16_G_f2	2/20/2016	NA	NA	Dom	female	G female
8jun15_G_f1	NA	NA		G	NA	~13-18 embryonic days	8jun15_G_f1	6/8/2015	NA	NA	Dom	female	G female
8jun15_G_f2	NA	NA		G	NA		8jun15_G_f2	6/8/2015	NA	NA	Dom	female	G female
8oct14_G_f1	NA	NA		G	NA	emb	8oct14_G_f1	10/8/2014	NA	NA	Dom	female	G female
12oct15_G_m1	Batch0	24	4523	G	5/16/2015	21 weeks	12oct15_G_m1	10/12/2015	149	21.28571429	Dom	male	G male
14mar15_G_m1	Batch13	25	2939	G	4/12/2014	11months	14mar15_G_m1	3/14/2015	336	48	Dom	male	G male
14mar15_G_m2	Batch13	22	2933	G	4/12/2014		14mar15_G_m2	3/14/2015	336	48	Dom	male	G male
1apr16_G_m4	Batch1	13		G	2/4/2016		1apr16_G_m4	4/1/2016	57	8.142857143	Dom	male	G male
22feb16_G_m1	Batch0	22	5068	G	12/20/2015	(DB 12/20/15)	22feb16_G_m1	2/22/2016	64	9.142857143	Dom	male	G male
22jun15_G_m1	Batch0	24	4441	G	4/2/2015	11 weeks	22jun15_G_m1	6/22/2015	81	11.57142857	Dom	male	G male
22jun15_G_m2	Batch0	31	4459	G	4/3/2015	11 weeks	22jun15_G_m2	6/22/2015	80	11.42857143	Dom	male	G male
24mar15_G_m1	Batch9	30	4105	G	9/5/2014	"28, 12"	24mar15_G_m1	3/24/2015	200	28.57142857	Dom	male	G male
30sep14_G_m2	Batch13	17		G	9/17/2014	12.5 days	30sep14_G_m2	9/30/2014	13	1.857142857	Dom	male	G male
3jan16_G_m1	Batch0	28	5046	G	11/30/2015	6.2	3jan16_G_m1	1/3/2016	34	4.857142857	Dom	male	G male
3jan16_G_m2	Batch3	32	4718	G	8/12/2015	20	3jan16_G_m2	1/3/2016	144	20.57142857	Dom	male	G male
6mar16_G_m1	Batch0	10	5067	G	12/20/2015	11w	6mar16_G_m1	3/6/2016	77	11	Dom	male	G male
6mar16_G_m3	Batch9	26	5066	G	12/20/2015	11w	6mar16_G_m3	3/6/2016	77	11	Dom	male	G male
19oct15_G_m1	NA	NA		G	2/20/2015		19oct15_G_m1	10/19/2015	241	34.42857143	Dom	male	G male
1apr16_G_m1	NA	NA		G	2/4/2016		1apr16_G_m1	4/1/2016	57	8.142857143	Dom	male	G male
1apr16_G_m2	NA	NA		G	2/4/2016		1apr16_G_m2	4/1/2016	57	8.142857143	Dom	male	G male
1apr16_G_m3	NA	NA		G	2/4/2016		1apr16_G_m3	4/1/2016	57	8.142857143	Dom	male	G male
30sep14_G_m1	NA	NA		G	9/17/2014	12.5 days	30sep14_G_m1	9/30/2014	13	1.857142857	Dom	male	G male
30sep14_G_m3	NA	NA		G	9/17/2014	12.5 days	30sep14_G_m3	9/30/2014	13	1.857142857	Dom	male	G male
30sep14_G_m4	NA	NA		G	9/17/2014	12.5 days	30sep14_G_m4	9/30/2014	13	1.857142857	Dom	male	G male
30sep14_G_m5	NA	NA		G	9/17/2014	12.5 days	30sep14_G_m5	9/30/2014	13	1.857142857	Dom	male	G male
6mar16_G_m2	NA	NA	5064	G	12/20/2015	11w	6mar16_G_m2	3/6/2016	77	11	Dom	male	G male
27aug18_HMI_m1	Batch11	26		HMI	10/30/2017		27aug18_HMI_m1	8/27/2018	301	43	Cast	male	HMI male
30oct17_HMI_m1	Batch11	14		HMI	8/27/2017		30oct17_HMI_m1	10/30/2017	64	9.142857143	Cast	male	HMI male
31jul17_HMI_m1	Batch6	33		HMI	4/27/2017		31jul17_HMI_m1	7/31/2017	95	13.57142857	Cast	male	HMI male
4dec17_HMI_m1	Batch7	25		HMI	4/2/2017		4dec17_HMI_m1	12/4/2017	246	35.14285714	Cast	male	HMI male
27aug18_HMI_m2	NA	NA		HMI	10/30/2017		27aug18_HMI_m2	8/27/2018	301	43	Cast	male	HMI male
28jun18_HMI_m1	NA	NA		HMI	10/30/2017		28jun18_HMI_m1	6/28/2018	241	34.42857143	Cast	male	HMI male
3sep18_HMI_m1	NA	NA		HMI	NA		3sep18_HMI_m1	9/3/2018	NA	NA	Cast	male	HMI male
3sep18_HMI_m2	NA	NA		HMI	NA		3sep18_HMI_m2	9/3/2018	NA	NA	Cast	male	HMI male
3sep18_HMI_m3	NA	NA		HMI	NA		3sep18_HMI_m3	9/3/2018	NA	NA	Cast	male	HMI male
11jan18_KAZ_f1	Batch14	29		KAZ	1/11/2018	neonate	11jan18_KAZ_f1	1/11/2018	0	0	Musc	female	KAZ female
11jan18_KAZ_f2	batch12	27		KAZ	1/11/2018	neonate	11jan18_KAZ_f2	1/11/2018	0	0	Musc	female	KAZ female
11jan18_KAZ_f3	batch12	26		KAZ	1/11/2018	neonate	11jan18_KAZ_f3	1/11/2018	0	0	Musc	female	KAZ female
1feb18_KAZ_f1	batch10	20		KAZ	2/1/2018	neonate	1feb18_KAZ_f1	2/1/2018	0	0	Musc	female	KAZ female
1feb18_KAZ_f2	batch10	26		KAZ	2/1/2018	neonate	1feb18_KAZ_f2	2/1/2018	0	0	Musc	female	KAZ female
1feb18_KAZ_f3	Batch14	13		KAZ	2/1/2018	neonate	1feb18_KAZ_f3	2/1/2018	0	0	Musc	female	KAZ female
1feb18_KAZ_f4	batch10	22		KAZ	2/1/2018	neonate	1feb18_KAZ_f4	2/1/2018	0	0	Musc	female	KAZ female
1feb18_KAZ_f5	Batch14	24		KAZ	2/1/2018	neonate	1feb18_KAZ_f5	2/1/2018	0	0	Musc	female	KAZ female
1feb18_KAZ_f6	Batch14	29		KAZ	2/1/2018	neonate	1feb18_KAZ_f6	2/1/2018	0	0	Musc	female	KAZ female
11jan18_KAZ_m1	Batch9	44		KAZ	3/15/2017	43w	11jan18_KAZ_m1	1/11/2018	302	43.14285714	Musc	male	KAZ male
11jan18_KAZ_m2	Batch9	7		KAZ	11/4/2017	9w	11jan18_KAZ_m2	1/11/2018	68	9.714285714	Musc	male	KAZ male
11jan18_KAZ_m3	Batch9	25		KAZ	11/4/2017	9w	11jan18_KAZ_m3	1/11/2018	68	9.714285714	Musc	male	KAZ male
11jan18_KAZ_m4	Batch9	21		KAZ	11/4/2017	9w	11jan18_KAZ_m4	1/11/2018	68	9.714285714	Musc	male	KAZ male
19may18_KAZ_m1	Batch11	28		KAZ	12/30/2017		19may18_KAZ_m1	5/19/2018	140	20	Musc	male	KAZ male
1feb18_KAZ_m1	Batch9	33	original BP	KAZ	4/12/2017		1feb18_KAZ_m1	2/1/2018	295	42.14285714	Musc	male	KAZ male
21may18_KAZ_m2	Batch11	25		KAZ	4/2/2018		21may18_KAZ_m2	5/21/2018	49	7	Musc	male	KAZ male
4dec17_KAZ_m1	Batch7	29		KAZ	10/3/2017		4dec17_KAZ_m1	12/4/2017	62	8.857142857	Musc	male	KAZ male
10jul19_KAZ_m1	NA	NA		KAZ	6/1/2019			7/10/2019	39	5.571428571	Musc	male	KAZ male
10jul19_KAZ_m2	NA	NA		KAZ	6/1/2019			7/10/2019	39	5.571428571	Musc	male	KAZ male
10jul19_KAZ_m3	NA	NA		KAZ	6/1/2019			7/10/2019	39	5.571428571	Musc	male	KAZ male
10jul19_KAZ_m4	NA	NA		KAZ	6/1/2019			7/10/2019	39	5.571428571	Musc	male	KAZ male
11feb18_KAZ_m1	NA	NA		KAZ	11/26/2017		11feb18_KAZ_m1	2/11/2018	77	11	Musc	male	KAZ male
11feb18_KAZ_m2	NA	NA		KAZ	10/3/2017		11feb18_KAZ_m2	2/11/2018	131	18.71428571	Musc	male	KAZ male
11feb18_KAZ_m3	NA	NA		KAZ	10/11/2017		11feb18_KAZ_m3	2/11/2018	123	17.57142857	Musc	male	KAZ male
19may18_KAZ_m2	NA	NA		KAZ	10/3/2017		19may18_KAZ_m2	5/19/2018	228	32.57142857	Musc	male	KAZ male
21may18_KAZ_m1	NA	NA		KAZ	3/12/2018		21may18_KAZ_m1	5/21/2018	70	10	Musc	male	KAZ male
30may18_KAZ_m1	NA	NA		KAZ	4/2/2018		30may18_KAZ_m1	5/30/2018	58	8.285714286	Musc	male	KAZ male
30may18_KAZ_m2	NA	NA		KAZ	4/2/2018		30may18_KAZ_m2	5/30/2018	58	8.285714286	Musc	male	KAZ male
30may18_KAZ_m3	NA	NA		KAZ	4/2/2018		30may18_KAZ_m3	5/30/2018	58	8.285714286	Musc	male	KAZ male
9apr18_KAZ_m1	NA	NA		KAZ	3/15/2017		9apr18_KAZ_m1	4/9/2018	390	55.71428571	Musc	male	KAZ male
9apr18_KAZ_m2	NA	NA		KAZ	3/15/2017		9apr18_KAZ_m2	4/9/2018	390	55.71428571	Musc	male	KAZ male
13jan17_LEW_f1	batch12	26		LEW	NA	e19	13jan17_LEW_f1	1/13/2017	NA	NA	Dom	female	LEW female
13jan17_LEW_f2	batch10	16		LEW	NA	e19	13jan17_LEW_f2	1/13/2017	NA	NA	Dom	female	LEW female
13jan17_LEW_f3	batch10	22		LEW	NA	e19	13jan17_LEW_f3	1/13/2017	NA	NA	Dom	female	LEW female
1feb18_LEW_f1	batch12	21		LEW	2/1/2018	neonate	1feb18_LEW_f1	2/1/2018	0	0	Dom	female	LEW female
4jan17_LEW_f1	Batch5	3		LEW	1/4/2017	neonates	4jan17_LEW_f1	1/4/2017	0	0	Dom	female	LEW female
4jan17_LEW_f1	Batch4	28		LEW	1/4/2017	neonates	4jan17_LEW_f1	1/4/2017	0	0	Dom	female	LEW female
4jan17_LEW_f1	batch10	31		LEW	1/4/2017	neonates	4jan17_LEW_f1	1/4/2017	0	0	Dom	female	LEW female
4jan17_LEW_f2	batch10	6		LEW	1/4/2017	neonates	4jan17_LEW_f2	1/4/2017	0	0	Dom	female	LEW female
4jan17_LEW_f3	Batch4	12		LEW	1/4/2017	neonates	4jan17_LEW_f3	1/4/2017	0	0	Dom	female	LEW female
4jan17_LEW_f3	Batch5	12		LEW	1/4/2017	neonates	4jan17_LEW_f3	1/4/2017	0	0	Dom	female	LEW female
4jan17_LEW_f6	Batch5	3		LEW	NA	e17-e19	4jan17_LEW_f6	1/4/2017	NA	NA	Dom	female	LEW female
4jan17_LEW_f6	Batch4	26		LEW	NA	e17-e19	4jan17_LEW_f6	1/4/2017	NA	NA	Dom	female	LEW female
4jan17_LEW_f7	Batch4	23		LEW	NA	e17-e19	4jan17_LEW_f7	1/4/2017	NA	NA	Dom	female	LEW female
19dec16_LEW_f1	NA	NA		LEW	12/18/2016	~24	19dec16_LEW_f1	12/19/2016	1	0.142857143	Dom	female	LEW female
1mar19_LEW_f1	NA	NA		LEW	3/1/2019			3/1/2019	0	0	Dom	female	LEW female
1mar19_LEW_f2	NA	NA		LEW	3/1/2019			3/1/2019	0	0	Dom	female	LEW female
1mar19_LEW_f3	NA	NA		LEW	3/1/2019			3/1/2019	0	0	Dom	female	LEW female
28aug18_LEW_f1	NA	NA		LEW	8/27/2018		28aug18_LEW_f1	8/28/2018	1	0.142857143	Dom	female	LEW female
4jan17_LEW_f4	NA	NA		LEW	NA	e17-e19	4jan17_LEW_f4	1/4/2017	NA	NA	Dom	female	LEW female
4jan17_LEW_f5	NA	NA		LEW	NA	e17-e19	4jan17_LEW_f5	1/4/2017	NA	NA	Dom	female	LEW female
9oct17_LEW_f1	NA	NA		LEW	10/9/2017	10oct17_LEW_f1	10oct17_LEW_f1	10/9/2017	0	0	Dom	female	LEW female
13jan17_LEW_m1	Batch11	26	LEW_original founder	LEW	NA	original founder	13jan17_LEW_m1	1/13/2017	NA	NA	Dom	male	LEW male
1feb18_LEW_m1	Batch9	31		LEW	12/6/2017		1feb18_LEW_m1	2/1/2018	57	8.142857143	Dom	male	LEW male
20dec16_LEW_m1	Batch6	37		LEW	10/6/2016		20dec16_LEW_m1	12/20/2016	75	10.71428571	Dom	male	LEW male
20dec16_LEW_m2	Batch6	17	original founder	LEW	5/1/2016		20dec16_LEW_m2	12/20/2016	233	33.28571429	Dom	male	LEW male
20dec16_LEW_m2	Batch3	22	original founder	LEW	5/1/2016		20dec16_LEW_m2	12/20/2016	233	33.28571429	Dom	male	LEW male
20dec16_LEW_m3	Batch6	20		LEW	11/2/2016		20dec16_LEW_m3	12/20/2016	48	6.857142857	Dom	male	LEW male
20dec16_LEW_m3	Batch3	24		LEW	11/2/2016		20dec16_LEW_m3	12/20/2016	48	6.857142857	Dom	male	LEW male
8may17_LEW_m1	Batch11	16	1.2.m2	LEW	10/6/2016		8may17_LEW_m1	5/8/2017	214	30.57142857	Dom	male	LEW male
8may17_LEW_m1	Batch9	18	1.2.m2	LEW	10/6/2016		8may17_LEW_m1	5/8/2017	214	30.57142857	Dom	male	LEW male
8may17_LEW_m2	Batch6	32		LEW	8/20/2016		8may17_LEW_m2	5/8/2017	261	37.28571429	Dom	male	LEW male
12Feb17_LEW_m1	NA	NA		LEW	2/1/2017	12.5 days	12Feb17_LEW_m1	2/12/2017	11	1.571428571	Dom	male	LEW male
12Feb17_LEW_m2	NA	NA		LEW	2/1/2017	12.5 days	12Feb17_LEW_m2	2/12/2017	11	1.571428571	Dom	male	LEW male
13sep17_LEW_m1	NA	NA		LEW	9/1/2017	juvinile	13sep17_LEW_m1	9/13/2017	12	1.714285714	Dom	male	LEW male
13sep17_LEW_m2	NA	NA		LEW	9/1/2017	juvinile	13sep17_LEW_m2	9/13/2017	12	1.714285714	Dom	male	LEW male
13sep17_LEW_m3	NA	NA		LEW	9/1/2017	juvinile	13sep17_LEW_m3	9/13/2017	12	1.714285714	Dom	male	LEW male
18sep17_LEW_m1	NA	NA		LEW	3/24/2017		18sep17_LEW_m1	9/18/2017	178	25.42857143	Dom	male	LEW male
18sep17_LEW_m2	NA	NA		LEW	5/31/2017		18sep17_LEW_m2	9/18/2017	110	15.71428571	Dom	male	LEW male
18sep17_LEW_m3	NA	NA		LEW	5/24/2017		18sep17_LEW_m3	9/18/2017	117	16.71428571	Dom	male	LEW male
18sep17_LEW_m4	NA	NA		LEW	5/5/2017		18sep17_LEW_m4	9/18/2017	136	19.42857143	Dom	male	LEW male
18sep17_LEW_m5	NA	NA		LEW	5/5/2017		18sep17_LEW_m5	9/18/2017	136	19.42857143	Dom	male	LEW male
1mar19_LEW_m1	NA	NA		LEW	10/22/2018			3/1/2019	130	18.57142857	Dom	male	LEW male
6apr17_LEW_m1	NA	NA		LEW	3/1/2017		6apr17_LEW_m1	4/6/2017	36	5.142857143	Dom	male	LEW male
6apr17_LEW_m2	NA	NA		LEW	3/1/2017		6apr17_LEW_m2	4/6/2017	36	5.142857143	Dom	male	LEW male
6apr17_LEW_m3	NA	NA		LEW	3/1/2017		6apr17_LEW_m3	4/6/2017	36	5.142857143	Dom	male	LEW male
6apr17_LEW_m4	NA	NA		LEW	3/1/2017		6apr17_LEW_m4	4/6/2017	36	5.142857143	Dom	male	LEW male
6apr17_LEW_m5	NA	NA		LEW	3/1/2017		6apr17_LEW_m5	4/6/2017	36	5.142857143	Dom	male	LEW male
7aug18_LEW_m1	NA	NA		LEW	7/6/2018		7aug18_LEW_m1	8/7/2018	32	4.571428571	Dom	male	LEW male
9oct17_LEW_m1	NA	NA		LEW	7/11/2017	"13w, 10oct17_LEW_m1"	10oct17_LEW_m1	10/9/2017	90	12.85714286	Dom	male	LEW male
9oct17_LEW_m2	NA	NA		LEW	7/11/2017	"13w, 10oct17_LEW_m2"	10oct17_LEW_m2	10/9/2017	90	12.85714286	Dom	male	LEW male
9oct17_LEW_m3	NA	NA		LEW	7/11/2017	"13w, 10oct17_LEW_m3"	10oct17_LEW_m3	10/9/2017	90	12.85714286	Dom	male	LEW male
1mar19_MOLF_f1	NA	NA		MOLF	2/26/2019			3/1/2019	3	0.428571429	other	female	MOLF female
1mar19_MOLF_f2	NA	NA		MOLF	2/26/2019			3/1/2019	3	0.428571429	other	female	MOLF female
1mar19_MOLF_f3	NA	NA		MOLF	2/26/2019			3/1/2019	3	0.428571429	other	female	MOLF female
1mar19_MOLF_f4	NA	NA		MOLF	2/27/2019			3/1/2019	2	0.285714286	other	female	MOLF female
28jun18_MOLF_m1	Batch11	36		MOLF	5/24/2018		28jun18_MOLF_m1	6/28/2018	35	5	other	male	MOLF male
1mar19_MOLF_m1	NA	NA		MOLF	9/17/2018			3/1/2019	165	23.57142857	other	male	MOLF male
26oct18_MOLF_m1	NA	NA		MOLF	7/23/2018		26oct18_MOLF_m1	10/26/2018	95	13.57142857	other	male	MOLF male
27oct18_MOLF_m1	NA	NA		MOLF	5/17/2018		27oct18_MOLF_m1	10/27/2018	163	23.28571429	other	male	MOLF male
27oct18_MOLF_m2	NA	NA		MOLF	9/25/2018		27oct18_MOLF_m2	10/27/2018	32	4.571428571	other	male	MOLF male
27oct18_MOLF_m3	NA	NA		MOLF	9/18/2018		27oct18_MOLF_m3	10/27/2018	39	5.571428571	other	male	MOLF male
28sep18_MOLF_m1	NA	NA		MOLF	8/20/2018		28sep18_MOLF_m1	9/28/2018	39	5.571428571	other	male	MOLF male
28sep18_MOLF_m2	NA	NA		MOLF	8/20/2018		28sep18_MOLF_m2	9/28/2018	39	5.571428571	other	male	MOLF male
4feb19_MOLF_m1	NA	NA		MOLF	5/24/2018			2/4/2019	256	36.57142857	other	male	MOLF male
12sep16_MSM_f1	Batch2	26		MSM	9/12/2016	(from founders 2 x 2	12sep16_MSM_f1	9/12/2016	0	0	Musc	female	MSM female
12sep16_MSM_f3	Batch2	22		MSM	9/12/2016		12sep16_MSM_f3	9/12/2016	0	0	Musc	female	MSM female
13nov16_MSM_f2	Batch4	18		MSM	11/13/2016		13nov16_MSM_f2	11/13/2016	0	0	Musc	female	MSM female
30sep16_MSM_f1	Batch14	45		MSM	9/30/2016		30sep16_MSM_f1	9/30/2016	0	0	Musc	female	MSM female
30sep16_MSM_f2	Batch4	25		MSM	9/30/2016		30sep16_MSM_f2	9/30/2016	0	0	Musc	female	MSM female
31dec17_MSM_f1	batch10	15		MSM	12/31/2017	neonate	31dec17_MSM_f1	12/31/2017	0	0	Musc	female	MSM female
31dec17_MSM_f2	batch10	20		MSM	12/31/2017	neonate	31dec17_MSM_f2	12/31/2017	0	0	Musc	female	MSM female
31dec17_MSM_f3	batch10	18		MSM	12/31/2017	neonate	31dec17_MSM_f3	12/31/2017	0	0	Musc	female	MSM female
31dec17_MSM_f4	batch10	26		MSM	12/31/2017	neonate	31dec17_MSM_f4	12/31/2017	0	0	Musc	female	MSM female
31dec17_MSM_f5	batch10	33		MSM	12/31/2017	neonate	31dec17_MSM_f5	12/31/2017	0	0	Musc	female	MSM female
12sep16_MSM_f2	NA	NA		MSM	9/12/2016		12sep16_MSM_f2	9/12/2016	0	0	Musc	female	MSM female
13jul17_MSM_f1	NA	NA		MSM	7/13/2017		13jul17_MSM_f1	7/13/2017	0	0	Musc	female	MSM female
13jul17_MSM_f2	NA	NA		MSM	7/13/2017		13jul17_MSM_f2	7/13/2017	0	0	Musc	female	MSM female
19dec16_MSM_f1	NA	NA		MSM	12/19/2016		19dec16_MSM_f1	12/19/2016	0	0	Musc	female	MSM female
19dec16_MSM_f2	NA	NA		MSM	12/19/2016		19dec16_MSM_f2	12/19/2016	0	0	Musc	female	MSM female
28aug18_MSM_f1	NA	NA		MSM	8/27/2018		28aug18_MSM_f1	8/28/2018	1	0.142857143	Musc	female	MSM female
30sep16_MSM_f3	NA	NA		MSM	9/30/2016		30sep16_MSM_f3	9/30/2016	0	0	Musc	female	MSM female
13nov16_MSM_m1	Batch3	32		MSM	4/18/2016		13nov16_MSM_m1	11/13/2016	209	29.85714286	Musc	male	MSM male
13nov16_MSM_m2	Batch3	21	original founder	MSM	4/18/2016		13nov16_MSM_m2	11/13/2016	209	29.85714286	Musc	male	MSM male
1feb18_MSM_m1	Batch9	31		MSM	12/5/2017		1feb18_MSM_m1	2/1/2018	58	8.285714286	Musc	male	MSM male
30may17_MSM_m1	Batch6	23		MSM	12/1/2016		30may17_MSM_m1	5/30/2017	180	25.71428571	Musc	male	MSM male
31aug16_MSM_m1	Batch1	27		MSM	6/28/2016	DB 6/28/16 parents MSM 1 founder	31aug16_MSM_m1	8/31/2016	64	9.142857143	Musc	male	MSM male
5jul17_MSM_m1	Batch6	27		MSM	12/1/2016		5jul17_MSM_m1	7/5/2017	216	30.85714286	Musc	male	MSM male
20dec16_MSM_m1	NA	NA		MSM	10/5/2016		20dec16_MSM_m1	12/20/2016	76	10.85714286	Musc	male	MSM male
20dec16_MSM_m2	NA	NA		MSM	10/5/2016		20dec16_MSM_m2	12/20/2016	76	10.85714286	Musc	male	MSM male
30Dec16_MSM_m1	NA	NA		MSM	12/18/2016		30Dec16_MSM_m1	12/30/2016	12	1.714285714	Musc	male	MSM male
30Dec16_MSM_m2	NA	NA		MSM	12/18/2016		30Dec16_MSM_m2	12/30/2016	12	1.714285714	Musc	male	MSM male
30Dec16_MSM_m3	NA	NA		MSM	12/18/2016		30Dec16_MSM_m3	12/30/2016	12	1.714285714	Musc	male	MSM male
31aug16_MSM_m2	NA	NA		MSM	6/28/2016	DB 6/28/16 parents MSM 1 founder	31aug16_MSM_m2	8/31/2016	64	9.142857143	Musc	male	MSM male
4feb19_MSM_m1	NA	NA		MSM	10/1/2018			2/4/2019	126	18	Musc	male	MSM male
4feb19_MSM_m2	NA	NA		MSM	7/7/2018			2/4/2019	212	30.28571429	Musc	male	MSM male
