mouse,ID,strain,DOB,age of mie,maternal_DOB,paternal_DOB,mat_ID,notes,gonad pairs collected,slides made,meiocyte incubation,staining
7aug18_SPRET_m1,,,6/20/2017,,1/22/2017,1/22/2017,,,,,,
7aug18_SPRET_m2,,,6/20/2017,,1/22/2017,1/22/2017,,,,,,
2aug18_SPIC_m1,,,6/22/2018,,11/20/2017,11/20/2017,,,,,,
2aug18_SPRET_m1,,,9/25/2017,,4/27/2017,4/27/2017,,,,,,
,,,,,,,,,,,,
3jul18_SKIVE_f1,,,7/2/2018,,1/13/2018,1/13/2018,BP2,,,,,
3jul18_SKIVE_f2,,,7/2/2018,,1/13/2018,1/13/2018,BP2,,,,,
3jul18_TOM_m1,,,4/26/2017,,,,,,,,,
4jul18_MAD_m23,,,NA,,NA,NA,,,,,,
4jul18_MAD_m24,,,NA,,NA,NA,,,,,,
28jun18_MOLF_m1,,,5/24/2018,,,,,,,,,
28jun18_TOM_m1,,,4/26/2017,,NA,NA,,,,,,
28jun18_HMI_m1,,,10/30/2017,,,,,,,,,
28jun18_SPIC_m1,,,5/7/2018,,11/20/2017,11/20/2017,,,,,,
28jun18_SPIC_m2,,,5/7/2018,,11/20/2017,11/20/2017,,,,,,
28jun18_SPIC_m3,,,5/7/2018,,11/20/2017,11/20/2017,,,,,,
28jun18_MAD_19,,,NA,,NA,NA,NA,,,,,
28jun18_MAD_18,,,NA,,NA,NA,NA,,,,,
,,,,,,,,,,,,
8jun18_CZECH_m1,,,4/1/2018,,,,BP1,,,,,
8jun18_CZECH_m2,,,4/1/2018,,,,BP1,,,,,
8jun18_AST_m1,,,6/21/2018,,NA,NA,,,,,,
8jun18_SPIC_m1,,,2/19/2018,,,,Spic4,,,,,
8jun18_SPIC_m2,,,2/19/2018,,,,Spic4,,,,,
,,,,,,,,,,,,
8jun18_SKIVE_f1,,,6/7/2018,,1/13/2018,1/13/2018,BP-1,,,,,
8jun18_SKIVE_f2,,,6/7/2018,,1/13/2018,1/13/2018,BP-1,,,,,
8jun18_SKIVE_f3,,,6/7/2018,,1/13/2018,1/13/2018,BP-1,,,,,
,,,,,,,,,,,,
30may18_KAZ_m1,,,4/2/2018,,10/11/2017,10/11/2017,,,,,,
30may18_KAZ_m2,,,,,,,,,,,,
30may18_KAZ_m3,,,,,,,,,,,,
,,,,,,,,,,,,
30may18_SPIC_f1,,,5/30/2018,,11/20/2017,11/20/2017,,,,,,
30may18_SPIC_f2,,,5/30/2018,,11/20/2017,11/20/2017,,,,,,
30may18_SPIC_f3,,,5/30/2018,,11/20/2017,11/20/2017,,,,,,
30may18_SPIC_f4,,,5/30/2018,,11/20/2017,11/20/2017,,,,,,
30may18_SPIC_f5,,,5/30/2018,,11/20/2017,11/20/2017,,,,,,
,,,,,,,,,,,,
21may18_KAZ_m2,,,4/2/2018,,10/11/2017,10/11/2017,,,,,,
21may18_KAZ_m1,,,3/12/2018,,10/11/2017,10/11/2017,,,,,,
,,,,,,,,,,,,
19may18_KAZ_m1,,,12/30/2017,,10/11/2017,10/11/2017,,,,,,
19may18_KAZ_m2,,,10/3/2017,,,,,,,,,
,,,,,,,,,,,,
19may18_SPIC_m1,,,4/9/2017,,orig,orig,,,,,,
19may18_SPIC_m2,,,4/9/2017,,orig,orig,,,,,,
30may18_MAD_m15,,,,,,,,,,,,
9apr18_MAD_m13,,,,,,,,,,,,
9apr18_MAD_m14,,,,,,,,,,,,
,,,,,,,,,,,,
9apr18_CAROLI_m1,,,7/20/2017,,orig,orig,,,,,,
9apr18_KAZ_m1,,,4/12/2018,,orig,orig,,,,,,
9apr18_KAZ_m2,,,3/15/2017,,orig,orig,,,,,,
,,,,,,,,,,,,
1mar18_CAROLI_m1,,,7/20/2017,,orig,orig,,,,,,
1mar18_CAROLI_m2?,,,,,,,,,,,,
1mar18_WSB_m1,,,6/21/2017,,,,,,,,,
1mar18_WSB_m2,,,3/30/2017,,,,,,,,,
,,,,,,,,,,,,
11feb18_KAZ_m1,,,11/26/2017,,KAZ2,,,,,,,
11feb18_KAZ_m2,,,10/3/2017,,KAZ 3,,,,,,,
11feb18_KAZ_m3,,,10/11/2017,,KAZ2,,,,,,,
3feb18_MAD_m12,,,,,,,,,,,,
3feb18_MAD_m11,,,,,,,,,,,,
,,,,,,,,,,,,
1feb18_KAZ_f1,,,,neonate,10/11/2017,10/11/2017,,,,,,
1feb18_KAZ_f2,,,,neonate,10/11/2017,10/11/2017,,,,,,
1feb18_KAZ_f3,,,,neonate,10/11/2017,10/11/2017,,,,,,
1feb18_KAZ_f4,,,,neonate,10/11/2017,10/11/2017,,,,,,
1feb18_KAZ_f5,,,,neonate,10/11/2017,10/11/2017,,,,,,
1feb18_KAZ_f6,,,,neonate,10/11/2017,10/11/2017,,,,,,
1feb18_LEW_f1,,,,neonate,,,,,,,,
1feb18_LEW_m1,,,12/6/2017,,9/15/2017,9/15/2017,,,,,,
1feb18_MSM_m1,,,12/5/2017,,6/19/2017,6/19/2017,,,,,,
1feb18_KAZ_m1,,,,,,,,,,,,
,,,,,,,,,,,,
11jan18_KAZ_m1,,,,,,,,,,,,
11jan18_KAZ_m2,,,11/4/2017,,,,,,,,,
11jan18_KAZ_m3,,,11/4/2017,,,,,,,,,
11jan18_KAZ_m4,,,11/4/2017,,,,,,,,,
11jan18_SPRET_m1,,,4/27/2017,,1/22/2017,1/22/2017,,,,,,
11jan18_SPIC_m1,,,4/6/2017,,NA,,,,,,,
11jan18_KAZ_f1,,,1/11/2018,neonate,,,,,,,,
11jan18_KAZ_f2,,,1/11/2018,neonate,,,,,,,,
11jan18_KAZ_f3,,,1/11/2018,neonate,,,,,,,,
,,,,,,,,,,,,
11jan18_SPIC_f1,,,1/10/2018,neonate,4/6/2017,SPIC 2,,,,,,
11jan18_SPIC_f2,,,1/10/2018,neonate,4/6/2017,SPIC 2,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
31dec17_MSM_f1,,MSM,12/31/2017,neonate,9/15/2017,,,,,,,
31dec17_MSM_f2,,MSM,12/31/2017,neonate,9/15/2017,,,,,,,
31dec17_MSM_f3,,MSM,12/31/2017,neonate,9/15/2017,,,,,,,
31dec17_MSM_f4,,MSM,12/31/2017,neonate,6/19/2017,,,,,,,
31dec17_MSM_f5,,MSM,12/31/2017,neonate,6/19/2017,,,,,,,
31dec17_SPIC_f1,,SPIC,12/31/2017,neonate,,SPIC1,,,,,,
31dec17_SPIC_f2,,SPIC,12/31/2017,neonate,,SPIC1,,,,,,
,,,,,,,,,,,,
4dec17_SPIC_f1,,SPIC,4-Dec-17,neonate,,SPIC4,,,,,,
4dec17_SPIC_f2,,SPIC,4-Dec-17,neonate,,SPIC4,,,,,,
4dec17_SPIC_m1,,SPIC,10/5/2017,,,SPic2,,,,,,
4dec17_KAZ_m1,,KAZ,10/3/2017,,,KAZ 3,,,,,,
4dec17_HMI_m1,,HMI,4/2/2017,,NA,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
30oct17_SPIC_f1,,SPIC,10/30/2017,neonate,4/6/2017,,,,,,,
30oct17_SPIC_m1,,SPIC,4/6/2017,,NA,,,,,,,
30oct17_SPIC_m2,,SPIC,9/10/2017,,4/9/2017,,,,,,,
30oct17_SPIC_m3,,SPIC,9/10/2017,,4/9/2017,,,,,,,
30oct17_SPIC_m4,,SPIC,9/10/2017,,4/9/2017,,,,,,,
30oct17_HMI_m1,,,8/27/2017,,4/2/2017,,,,,,,
19oct17_SPRET_f1,,SPRET,10/18/2017,24 hr,4/27/2017,,,,,,,
19oct17_SPRET_f2,,SPRET,10/18/2017,24hr,4/27/2017,,,,,,,
19oct17_SPIC_f1,,SPIC,10/18/2017,24hr,4/9/2017,,,,,,,
19oct17_SPIC_f2,,SPIC,10/18/2017,24hr,4/9/2017,,,,,,,
19oct17_SPIC_f3,,SPIC,10/18/2017,24hr,4/9/2017,,,,,,,
19oct17_SPIC_f4,,SPIC,10/18/2017,24hr,4/9/2017,,,,,,,
13oct17_MAD_m9,,"Wild, Pero",NA,NA,NA,,,,,,,
13oct17_WSB_f1,,WSB,10/13/2017,neonate,6/3/2017,,,,,,,
13oct17_WSB_f2,,WSB,10/13/2017,neonate,6/3/2017,,,,,,,
13oct17_SPRET_m1,,SPRET,7/26/2017,,1/22/2017,,,,,,,
13oct17_SPRET_m2,,SPRET,7/26/2017,,1/22/2017,,,,,,,
23sep17_CAST_m1,,,10/25/2016,,NA,,,,,,,
23sep17_CAST_m2,,,10/25/2016,,NA,,,,,,,
10oct17_LEW_f1,,LEW,10/9/2017,,7/11/2017,,,,,,,
10oct17_MSM_m1,,,6/19/2017,,3/12/2017,,,,,,,
10oct17_MSM_m2,,,3/12/2017,,,,,,,,,
10oct17_WSB_m1,,WSB,8/3/2016,,2/24/2016,,,,,,,
10oct17_SPRET_m1,,SPRET,6/20/2017,16w,1/22/2017,,,,,,,
10oct17_LEW_m1,,LEW,7/11/2017,13w,3/24/2017,,,,,,,
10oct17_LEW_m2,,LEW,7/11/2017,13w,3/24/2017,,,,,,,
10oct17_LEW_m3,,LEW,7/11/2017,13w,3/24/2017,,,,,,,
13oct17_MAD_m8,,"Wild, Pero",NA,NA,NA,,,,,,,
23sep17_SPRET_f1,,SPRET,9/22/2017,>24 hours,6/20/2017,,,,,,,
23sep17_SPRET_f2,,SPRET,9/22/2017,>24 hours,6/20/2017,,,,,,,
23sep17_SPRET_f3,,SPRET,9/22/2017,>24 hours,6/20/2017,,,,,,,
18sep17_LEW_m1,,LEW,3/24/2017,,1.1.F4 x 1.1.m2,,,,,,,
18sep17_LEW_m2,,LEW,5/31/2017,,3/26/2017,,,,,,,
18sep17_LEW_m3,,LEW,5/24/2017,,10/6/2016,,,,1.2.f3 x 1.2.m1,,,
18sep17_LEW_m4,,LEW,5/5/2017,,10/6/2016,,,,(pat 3/24/17),,,
18sep17_LEW_m5,,LEW,5/5/2017,,10/6/2016,,,,,,,
12sep17_PWD_m1,,PWD,8/31/2017,juvinile,2/24/2017,,,,,,,
12sep17_PWD_m2,,PWD,8/31/2017,juvinile,2/24/2017,,,,,,,
12sep17_PWD_m3,,PWD,8/31/2017,juvinile,2/24/2017,,,,,,,
13sep17_LEW_m1,,LEW,9/1/2017,juvinile,3/24/2017,,,,,,,
13sep17_LEW_m2,,LEW,9/1/2017,juvinile,3/24/2017,,,,,,,
13sep17_LEW_m3,,LEW,9/1/2017,juvinile,3/24/2017,,,,,,,
24aug17_CAST_m1,,,4/27/2016,,NA,,,,,,,
24aug17_SPRET_m1,,,4/24/2017,,1/22/2017,,,,,,,
24aug17_PERC_m1,,,,,NA,,,,,,,
24aug17_MAD_m6,,"Wild, Pero",NA,mature,NA,,,,,,,
24aug17_MAD_m7,,"Wild, Pero",NA,mature,NA,,,,,,,
22aug17_MAD_m1,,"Wild, Pero",NA,mature,NA,,,,,,,
22aug17_MAD_m3,,"Wild, Pero",NA,juvinille,NA,,,,,,,
21aug17_SPI_f1,,Spic,8/21/2017,"neonate, recently died",4/9/2017,,,,,,,
21aug17_SPI_f2,,Spic,8/21/2017,"neonate, recently died",4/9/2017,,,,,,,
21aug17_SPI_f3,,Spic,8/21/2017,"neonate, recently died",4/9/2017,,,,,,,
31jul17_HMI_m1,,HMI,4/27/2017,,NA,,,,,,,
13jul17_MSM_f1,,MSM,7/13/2017,,3/12/2017,,,,,,,
13jul17_MSM_f2,,MSM,7/13/2017,,3/12/2017,,,,,,,
13jul17_SPRET_f1,,SRET,,embryo (e18),4/9/2017,,,,,,,
13jul17_SPRET_f2,,SRET,,embryo (e18),4/9/2017,,,,,,,
13jul17_SPRET_f3,,SRET,,embryo (e18),4/9/2017,,,,,,,
13jul17_SPRET_m1,,,10/13/2016,,NA,,,,,,,
5jul17_SPRET,,,,,,,,,,,,
5jul17_MSM_m1,,MSM,12/1/2016,,1.2.F2 x 1.2.m1,,,,,,,
5jul17_PERC_m1,,,5/23/2016,,NA,,,,,,,
5jul17_CAST_m1,,,11/24/2015,,NA,,,,,,,
5jul17_SPRET_m1,founder?,,,,NA,,,arrived 12/5/16,,,,
30may17_SPRET_f1,,,5/30/2017,neonate,,,,,,,,
30may17_SPRET_m1,,,4/9/2017,,1/22/2017,,,,,,,
30may17_MSM_m1,,MSM,12/1/2016,,1.2.F2 x 1.2.m1,,,,,,,
8may17_CAST_f1,,CAST,5/8/2017,neonate,,,,,,,,
8may17_LEW_m2,,LEW,8/20/2016,,F2 x M1,,,,,,,
8may17_LEW_m1,,LEW,,,,,,,,,,
8may17_SPRET_m1,,SRET,1/22/2017,,,,,,,,,
,,,,,,,,,,,,
10apr17_LxP.F1_f1,,F1,4/10/2017,,,,,,,,,
10apr17_LxP.F1_f2,,F1,4/10/2017,,,,,,,,,
10apr17_LxP.F1_f3,,F1,4/10/2017,,,,,,,,,
6apr17_LEW_m1,,,3/1/2017,,10/6/2016,,,,,,,
6apr17_LEW_m2,,,3/1/2017,,10/6/2016,,,,,,,
6apr17_LEW_m3,,,3/1/2017,,10/6/2016,,,,,,,
6apr17_LEW_m4,,,3/1/2017,,10/6/2016,,,,,,,
6apr17_LEW_m5,,,3/1/2017,,10/6/2016,,,,,,,
,,,,,,,,,,,,
6apr17_LxP.F1_m1,,F1,2/28/2017,,1/2/2017,,,,,,,
6apr17_LxP.F1_m2,,F1,2/28/2017,,1/2/2017,,,,,,,
6apr17_LxP.F1_m3,,F1,2/27/2017,,,,,,,,,
1mar17_CAST_f1,,CAST,3/1/2017,,10/25/2016,,,,,,,
,,,,,,,,,,,,
12Feb17_LEW_m1,,LEW,2/1/2017,12.5 days,8/20/2016,,,,lew.1.1.f4,,,
12Feb17_LEW_m2,,LEW,2/1/2017,12.5 days,8/20/2016,,,,lew.1.1.f4,,,
,,,,,,,,,,,,
13jan17_LEW_f1,,LEW,NA,e19,,,,,,,,
13jan17_LEW_f2,,LEW,NA,e19,,,,,,,,
13jan17_LEW_f3,,LEW,NA,e19,,,,,,,,
13jan17_LEW_m1,LEW_original founder,LEW,,original founder,,,,,,,,
,,,,,,,,,,,,
4jan17_LEW_f1,,LEW,1/4/2017,neonates,10/6/2016,,,,,,,
4jan17_LEW_f2,,LEW,1/4/2017,neonates,10/6/2016,,,,,,,
4jan17_LEW_f3,,LEW,1/4/2017,neonates,10/6/2016,,,,,,,
,,,,,,,,,,,,
4jan17_LEW_f4,,LEW,NA,e17-e19,10/6/2016,,,,,,,
4jan17_LEW_f5,,LEW,NA,e17-e19,10/6/2016,,,,,,,
4jan17_LEW_f6,,LEW,NA,e17-e19,10/6/2016,,,,,,,
4jan17_LEW_f7,,LEW,NA,e17-e19,10/6/2016,,,,,,,
,,,,,,,,,,,,
30Dec16_MSM_m1,,MSM,12/18/2016,,,,,,,,,
30Dec16_MSM_m2,,MSM,12/18/2016,,,,,,,,,
30Dec16_MSM_m3,,MSM,12/18/2016,,,,,,,,,
,,,,,,,,,,,,
20dec16_MSM_m1,,MSM,10/5/2016,,,,,,,,,
20dec16_MSM_m2,,MSM,10/5/2016,,,,,,,,,
20dec16_LEW_m1,,LEW,,,,,,,,,,
20dec16_LEW_m2,,LEW,,,,,,arrived 6/6/16,,,,
20dec16_LEW_m3,,LEW,11/2/2016,,1.1.F2 x 1.1.m1,,,,,,,
19dec16_LEW_f1,,LEW,,,,,,,,,,
19dec16_MSM_f1,,MSM,,,,,,,,,,
19dec16_MSM_f2,,MSM,,,,,,,,,,
,,,,,,,,,,,,
13nov16_MSM_f2,,MSM,,,,,,,,,,
13nov16_MSM_m1,,MSM,,,,,,,,,,
13nov16_MSM_m2,,MSM,,,,,,,,,,
,,,,,,,,,,,,
30sep16_MSM_f1,,MSM,9/30/2016,,from female 1,,,,,,,
30sep16_MSM_f2,,MSM,9/30/2016,,from female 1,,,,,,,
30sep16_MSM_f3,,MSM,9/30/2016,,"from female 2, 2nd generation",,,,,,,
,,,,,,,,,,,,
12sep16_MSM_f1,,MSM,9/12/2016,(from founders 2 x 2,,,,,,,,
12sep16_MSM_f2,,MSM,9/12/2016,,,,,,,,,
12sep16_MSM_f3,,MSM,9/12/2016,,,,,,,,,
,,,,,,,,,,,,
31aug16_MSM_m1,,,6/28/2016,DB 6/28/16 parents MSM 1 founder,BP1,BP1,,,,,,
31aug16_MSM_m2,,,6/28/2016,DB 6/28/16 parents MSM 1 founder,BP1,BP1,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
30jun16_CAST_m1,,CAST,,~9w,,,,,,,,
30jun16_CAST_m2,,CAST,,~9w,,,,,,,,
30jun16_CAST_m3,,CAST,,~21w,,,,,,,,
4apr16_WSB_f2,,WSB,,,,,,,,,,
4apr16_WSB_f1,,WSB,,,,,,,,,,
1apr16_PWD_m1,,BD 2/1/16,2/1/2016,,,,,,,,,
1apr16_G_m4,,"G (L1-3 F8, BD 2/4/16)",2/4/2016,,,,,,,,,
1apr16_WSB_m1,,(WSB from charmony),10/19/2015,BD 10/19/15,,,,,,,,
,,,,,,,,,,,,
17mar16_G_f1,,Gough L1-3 F8,3/17/2016,neonate 5,,,,,,,,
17mar16_G_f2,,Gough L1-3 F8,3/17/2016,,,,,,,,,
17mar16_G_f3,,Gough L1-3 F8,3/17/2016,,,,,,,,,
17mar16_G_f4,,Gough L1-3 F8,3/17/2016,,,,,,,,,
17mar16_G_f5,,Gough L1-3 F8,3/17/2016,,,,,,,,,
,,,,,,,,,,,,
6mar16_PWD_m1,,PWD,1/11/2016,DB 11jan16  7 weeks,,,,,,,,
6mar16_G_m1,5067,Gough L1-3 F8,,11w,,,,,,,,
6mar16_G_m2,5064,Gough L1-3 F8,,11w,,,,,,,,
6mar16_G_m3,5066,Gough L1-3 F8,,11w,,,,,,,,
,,,,,,,,,,,,
22feb16_G_m1,5068,Gough L1-3 F8,12/1/2015,(DB 12/20/15),,,,,,,,
20feb16_G_f1,,Gough L1-3 F8,,17.5,-5063 12.5w,,,,3 pairs,,,
20feb16_G_f2,,,,,,,,,,,,
20feb16_G_f3,,,,,,,,,,,,
,,,,,,,,,,,,
16jan16_G_f1,,gough (probably 1-3),1/16/2016,neonates,,,,,3 pairs,,,
16jan16_G_f2,,,1/16/2016,,,,,,,,,
16jan16_G_f3,,,1/16/2016,,,,,,,,,
,,,,,,,,,,,,
20feb16_G_f1,,Gough L1-3 F8,,17.5,,,,,2 ovaries each,,20,
20feb16_G_f2,,Gough L1-3 F8,,17.5,,,,,,,20,
20feb16_G_f3,,Gough L1-3 F8,,17.5,,,,,,,20,
3jan16_G_m1,5046,Gough L1-3 F8,,6.2,13w,,,,1 testes,,40,
3jan16_G_m2,4718,Gough L1-3 F6,,20,?,,,,1 testes,,40,
,,,,,,,,,,,,
,,,,,,,,,,,,
24-Nov-15,,WSB,,>12 <24,#NAME?,,,,3 total,6,40 min,
19oct15_G_m  L3 F11,,Gough,,,,,,,,,,
12-Oct-15,,WSB,,24hr,20 weeks,,,,1 pair ovaries,,,
12oct15_G_m1  (4523 L2_F9),,Gough,,21 weeks,,,,,"2 (one stored in ice cold PBS, other left in body)",6,40 min,
12-Oct-15,,WSB,,34 weeks,,,,,1,,,
16-Sep-15,,WSB,,13 weeks,,,,,,,,
"22jun15 (4441, 4459)",,Gough L1_3 F6,,11 weeks,,,,,,,,
,,,,,,,,,,,,
16-Jun-15,,WSB,,e17,54w,,,,1 set of ovaries,,45min,
16-Jun-15,,WSB,,12-16 dpc,34w,,,,1 set of ovaries,,45min,
16-Jun-15,,WSB,,e17,34w,,,,2 sets of ovaries,,45min,
12-Jun-16,,"WSB, 2 females, 2males",,,f1 mater. f2,,,,2 sets of ovaries,6,,
,,,,,,,,,,,,
,,,,,,,,,,,,
8jun15_G_f1,,G 4 females collected,,~13-18 embryonic days,27 weeks (4311),,,~13-18 embryonic days,4 pairs of ovaries,12,,16jun15_MLH1
8jun15_G_f2,,,,,,,,~13-18 embryonic days,4 pairs of ovaries,,,
8jun15_G_f3,,,,,,,,~13-18 embryonic days,4 pairs of ovaries,,,
8jun15_G_f4,,,,,,,,~13-18 embryonic days,4 pairs of ovaries,,,
18may15_WSB_m1,,WSB,,"8-10 weeks
",,,,,1 male,3 each,,
18may15_PWD_m1,,PWD,,"8-10 weeks
",,,,,2 males,3 each,,
18may15_PWD_m2,,,,"8-10 weeks
",,,,,,,,
24apr15_PWD_m1,,PWD,,5w,,,,,,,,
24apr15_WSB_m1,,WSB,,21 w,,,,,,,,
23apr15_PWD_f1,,PWD,4/23/2015,neonates,,,,,,,,
23apr15_PWD_f2,,,4/23/2015,,,,,,,,,
,,,,,,,,,,,,
23apr15_WSB_f1,,WSB,,e18-21,,,,,,,,
17apr15_PWD_f1,,PWD,4/17/2015,neonates,,,,,"8 neonates, 4 females",,,
17apr15_PWD_f2,,,4/17/2015,,,,,,,,,
17apr15_PWD_f3,,,4/17/2015,,,,,,,,,
17apr15_PWD_f4,,,4/17/2015,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
4apr15_WSB_f1,,,4/4/2015,,,,,,,,,
4apr15_WSB_f2,,WSB,4/4/2015,neonates,mat DOB 10-16-14,,,,,,,
1april15_PWD_f1,,PWD (2 females)  16-17embryonic days,,e16-17,,,,,"2 pairs of ovaries
",,,
1april15_PWD_f2,,,,e16-17,,,,,,,,
31mar15_WSB_m1,,WSB (3 mature males),,,,,,,1 tests,,,
31mar15_WSB_m2,,,,,,,,,,,,
31mar15_WSB_m3,,,,,,,,,,,,
24mar15_G_m1,,"1 G male (4105, L2_F8) 1 PWD male",,"28, 12",,,,,1 teste each,3 each,,
14mar15_G_m1,2939,G (2 mature males)_L2_F7,,11months,,,,,,,,
14mar15_G_m2,2933,,,,,,,,,,,
10mar15_PWD_m1,,PWD(2 mature),,,,,,,2 testes total,,,
10mar15_PWD_m2,,,,,,,,,,,,
10mar15_WSB_m1,,WSB(2 mature),,,,,,,2 testes total,,,
10mar15_WSB_m2,,,,,,,,,,,,
1mar15_WSB_m1,,WSB,,,,,,,,,45min,looked very good
1mar15_PWD_m1,,PWD,,,,,,,,,45min,looked very good
28feb15_PWD_f1,,PWD (e18),,e18,"f1-f3, 74 days, f5-f7 185 days",,,,7 females,"7 (3each)
",45min,
28feb15_PWD_f2,,,,e18,,,,,,,,
28feb15_PWD_f3,,,,e18,,,,,,,,
28feb15_PWD_f4,,,,e18,,,,,,,,
28feb15_PWD_f5,,,,e18,,,,,,,,
28feb15_PWD_f6,,,,e18,,,,,,,,
,,,,,,,,,,,,
30dec14_WSB_m1,,WSB,,,,,,,5 males,15 (3each),"45 HEB incubation, good proportion of cells from first slides.","7jan15 staining m1, m2. m2 very good, but not very good results from m1."
30dec14_WSB_m2,,,,,,,,,,,,
30dec14_WSB_m3,,,,,,,,,,,,
30dec14_WSB_m4,,,,,,,,,,,,
30dec14_WSB_m5,,,,,,,,,,,,
,,,,,,,,,,,,
21dec14_WSB_m1,,WSB,,,,,,,"3 males, testes (adult males)",15 (5 each),45 min HEB,
21dec14_WSB_m2,,,,,,,,,,,,
21dec14_WSB_m3,,,,,,,,,,,,
13oct14_G_f1,,gough L13,,,2886 (18.5 days pregnant)(pluged 9-25-14),,,,"3 females collected, 2 slides each",,"f1, very few pachtyene cells - also tight and fairly compact cells.",
13oct14_G_f2,,,,,,,,,,,,
13oct14_G_f3,,,,,,,,,,,,
13oct14_G_f4,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,2 females collected,,,
8-Oct-14,,G,,,L3 2794,,,,,,cells seem pretty good from slides from 2 females,poor staing so far
8oct14_PWD_f1,,,,,,,,,8 females,16 slides,,
8oct14_PWD_f2,,,,,,,,,,,,
8oct14_PWD_f3,,,,,,,,,,,,
8oct14_PWD_f4,,,,,,,,,,,,
8oct14_PWD_f5,,,,,,,,,,,,
8oct14_PWD_f6,,,,,,,,,,,,
8oct14_PWD_f7,,,,,,,,,,,,
8oct14_PWD_f8,,,,,,,,,,,,
,,,,,,,,,,,,
8oct14_WSB_f1,,WSB,,,,,,,3 females,6 slides,"3 females stained, meiocytes seem fairly intact. poor staining methods","7jan15 staing of f3, almost no pachtyene cells"
8oct14_WSB_f2,,,,,,,,,,,,
8oct14_WSB_f3,,,,,,,,,,,,
,,,,,,,,,5 males 12.5 days,15 slides,,
30sep14_G_m1,,Gough_L3,,12.5 days,"2794 (180 days at birth, ~25weeks)",,,30sep14: Gough L3 gen7? (2794) 9 pups (12.5),,,,
30sep14_G_m2,,Gough_L3,,12.5 days,"2794 (180 days at birth, ~25weeks)",,,30sep14: Gough L3 gen7? (2794) 9 pups (12.5),,,,
