mouse,ID,strain,DOB,notes,mouse
30may18_KAZ_m1,,,4/2/2018,,30may18_KAZ_m1
30may18_KAZ_m2,,,4/2/2018,,30may18_KAZ_m2
30may18_KAZ_m3,,,4/2/2018,,30may18_KAZ_m3
,,,,,
30may18_SPIC_f1,,,5/30/2018,,30may18_SPIC_f1
30may18_SPIC_f2,,,5/30/2018,,30may18_SPIC_f2
30may18_SPIC_f3,,,5/30/2018,,30may18_SPIC_f3
30may18_SPIC_f4,,,5/30/2018,,30may18_SPIC_f4
30may18_SPIC_f5,,,5/30/2018,,30may18_SPIC_f5
,,,,,
21may18_KAZ_m2,,,4/2/2018,,21may18_KAZ_m2
21may18_KAZ_m1,,,3/12/2018,,21may18_KAZ_m1
,,,,,
19may18_KAZ_m1,,,12/30/2017,,19may18_KAZ_m1
19may18_KAZ_m2,,,10/3/2017,,19may18_KAZ_m2
,,,,,
19may18_SPIC_m1,,,4/9/2017,,19may18_SPIC_m1
19may18_SPIC_m2,,,4/9/2017,,19may18_SPIC_m2
30may18_MAD_m15,,,,,30may18_MAD_m15
9apr18_MAD_m13,,,,,9apr18_MAD_m13
9apr18_MAD_m14,,,,,9apr18_MAD_m14
,,,,,
9apr18_CAROLI_m1,,,7/20/2017,,9apr18_CAROLI_m1
9apr18_KAZ_m1,,,3/15/2017,,9apr18_KAZ_m1
9apr18_KAZ_m2,,,3/15/2017,,9apr18_KAZ_m2
,,,,,
1mar18_CAROLI_m1,,,7/20/2017,,1mar18_CAROLI_m1
1mar18_WSB_m1,,,6/21/2017,,1mar18_WSB_m1
1mar18_WSB_m2,,,3/30/2017,,1mar18_WSB_m2
,,,,,
11feb18_KAZ_m1,,,11/26/2017,,11feb18_KAZ_m1
11feb18_KAZ_m2,,,10/3/2017,,11feb18_KAZ_m2
11feb18_KAZ_m3,,,10/11/2017,,11feb18_KAZ_m3
3feb18_MAD_m12,,,,,3feb18_MAD_m12
3feb18_MAD_m11,,,,,3feb18_MAD_m11
,,,,,
1feb18_KAZ_f1,,,2/1/2018,neonate,1feb18_KAZ_f1
1feb18_KAZ_f2,,,2/1/2018,neonate,1feb18_KAZ_f2
1feb18_KAZ_f3,,,2/1/2018,neonate,1feb18_KAZ_f3
1feb18_KAZ_f4,,,2/1/2018,neonate,1feb18_KAZ_f4
1feb18_KAZ_f5,,,2/1/2018,neonate,1feb18_KAZ_f5
1feb18_KAZ_f6,,,2/1/2018,neonate,1feb18_KAZ_f6
1feb18_LEW_f1,,,2/1/2018,neonate,1feb18_LEW_f1
1feb18_LEW_m1,,,12/6/2017,,1feb18_LEW_m1
1feb18_MSM_m1,,,12/5/2017,,1feb18_MSM_m1
1feb18_KAZ_m1,original BP,,4/12/2017,,1feb18_KAZ_m1
,,,,,
11jan18_KAZ_m1,,,3/15/2017,43w,11jan18_KAZ_m1
11jan18_KAZ_m2,,,11/4/2017,9w,11jan18_KAZ_m2
11jan18_KAZ_m3,,,11/4/2017,9w,11jan18_KAZ_m3
11jan18_KAZ_m4,,,11/4/2017,9w,11jan18_KAZ_m4
11jan18_SPRET_m1,,,4/27/2017,,11jan18_SPRET_m1
11jan18_SPIC_m1,,,4/6/2017,,11jan18_SPIC_m1
11jan18_KAZ_f1,,,1/11/2018,neonate,11jan18_KAZ_f1
11jan18_KAZ_f2,,,1/11/2018,neonate,11jan18_KAZ_f2
11jan18_KAZ_f3,,,1/11/2018,neonate,11jan18_KAZ_f3
,,,,,
11jan18_SPIC_f1,,,1/10/2018,neonate,11jan18_SPIC_f1
11jan18_SPIC_f2,,,1/10/2018,neonate,11jan18_SPIC_f2
,,,,,
31dec17_MSM_f1,,MSM,12/31/2017,neonate,31dec17_MSM_f1
31dec17_MSM_f2,,MSM,12/31/2017,neonate,31dec17_MSM_f2
31dec17_MSM_f3,,MSM,12/31/2017,neonate,31dec17_MSM_f3
31dec17_MSM_f4,,MSM,12/31/2017,neonate,31dec17_MSM_f4
31dec17_MSM_f5,,MSM,12/31/2017,neonate,31dec17_MSM_f5
31dec17_SPIC_f1,,SPIC,12/31/2017,neonate,31dec17_SPIC_f1
31dec17_SPIC_f2,,SPIC,12/31/2017,neonate,31dec17_SPIC_f2
,,,,,
4dec17_SPIC_f1,,SPIC,4-Dec-17,neonate,4dec17_SPIC_f1
4dec17_SPIC_f2,,SPIC,4-Dec-17,neonate,4dec17_SPIC_f2
4dec17_SPIC_m1,,SPIC,10/5/2017,,4dec17_SPIC_m1
4dec17_KAZ_m1,,KAZ,10/3/2017,,4dec17_KAZ_m1
4dec17_HMI_m1,,HMI,4/2/2017,,4dec17_HMI_m1
,,,,,
,,,,,
30oct17_SPIC_f1,,SPIC,10/30/2017,neonate,30oct17_SPIC_f1
30oct17_SPIC_m1,,SPIC,4/6/2017,,30oct17_SPIC_m1
30oct17_SPIC_m2,,SPIC,9/10/2017,,30oct17_SPIC_m2
30oct17_SPIC_m3,,SPIC,9/10/2017,,30oct17_SPIC_m3
30oct17_SPIC_m4,,SPIC,9/10/2017,,30oct17_SPIC_m4
30oct17_HMI_m1,,,8/27/2017,,30oct17_HMI_m1
19oct17_SPRET_f1,,SPRET,10/18/2017,24 hr,19oct17_SPRET_f1
19oct17_SPRET_f2,,SPRET,10/18/2017,24hr,19oct17_SPRET_f2
19oct17_SPIC_f1,,SPIC,10/18/2017,24hr,19oct17_SPIC_f1
19oct17_SPIC_f2,,SPIC,10/18/2017,24hr,19oct17_SPIC_f2
19oct17_SPIC_f3,,SPIC,10/18/2017,24hr,19oct17_SPIC_f3
19oct17_SPIC_f4,,SPIC,10/18/2017,24hr,19oct17_SPIC_f4
13oct17_MAD_m9,,"Wild, Pero",NA,NA,13oct17_MAD_m9
13oct17_WSB_f1,,WSB,10/13/2017,neonate,13oct17_WSB_f1
13oct17_WSB_f2,,WSB,10/13/2017,neonate,13oct17_WSB_f2
13oct17_SPRET_m1,,SPRET,7/26/2017,,13oct17_SPRET_m1
13oct17_SPRET_m2,,SPRET,7/26/2017,,13oct17_SPRET_m2
23sep17_CAST_m1,,,10/25/2016,,23sep17_CAST_m1
23sep17_CAST_m2,,,10/25/2016,,23sep17_CAST_m2
,,,,,
9oct17_LEW_f1,,LEW,10/9/2017,10oct17_LEW_f1,10oct17_LEW_f1
9oct17_MSM_m1,,,6/19/2017,10oct17_MSM_m1,10oct17_MSM_m1
9oct17_MSM_m2,,,3/12/2017,10oct17_MSM_m2,10oct17_MSM_m2
9oct17_WSB_m1,,WSB,8/3/2016,10oct17_WSB_m1,10oct17_WSB_m1
9oct17_SPRET_m1,,SPRET,6/20/2017,"16w, 10oct17_SPRET_m1",10oct17_SPRET_m1
9oct17_LEW_m1,,LEW,7/11/2017,"13w, 10oct17_LEW_m1",10oct17_LEW_m1
9oct17_LEW_m2,,LEW,7/11/2017,"13w, 10oct17_LEW_m2",10oct17_LEW_m2
9oct17_LEW_m3,,LEW,7/11/2017,"13w, 10oct17_LEW_m3",10oct17_LEW_m3
,,,,,
13oct17_MAD_m8,,"Wild, Pero",NA,NA,13oct17_MAD_m8
23sep17_SPRET_f1,,SPRET,9/22/2017,>24 hours,23sep17_SPRET_f1
23sep17_SPRET_f2,,SPRET,9/22/2017,>24 hours,23sep17_SPRET_f2
23sep17_SPRET_f3,,SPRET,9/22/2017,>24 hours,23sep17_SPRET_f3
18sep17_LEW_m1,,LEW,3/24/2017,,18sep17_LEW_m1
18sep17_LEW_m2,,LEW,5/31/2017,,18sep17_LEW_m2
18sep17_LEW_m3,,LEW,5/24/2017,,18sep17_LEW_m3
18sep17_LEW_m4,,LEW,5/5/2017,,18sep17_LEW_m4
18sep17_LEW_m5,,LEW,5/5/2017,,18sep17_LEW_m5
12sep17_PWD_m1,,PWD,8/31/2017,juvinile,12sep17_PWD_m1
12sep17_PWD_m2,,PWD,8/31/2017,juvinile,12sep17_PWD_m2
12sep17_PWD_m3,,PWD,8/31/2017,juvinile,12sep17_PWD_m3
13sep17_LEW_m1,,LEW,9/1/2017,juvinile,13sep17_LEW_m1
13sep17_LEW_m2,,LEW,9/1/2017,juvinile,13sep17_LEW_m2
13sep17_LEW_m3,,LEW,9/1/2017,juvinile,13sep17_LEW_m3
24aug17_CAST_m1,,,4/27/2016,,24aug17_CAST_m1
24aug17_SPRET_m1,,,4/24/2017,,24aug17_SPRET_m1
24aug17_PERC_m1,,,,,24aug17_PERC_m1
24aug17_MAD_m6,,"Wild, Pero",NA,mature,24aug17_MAD_m6
24aug17_MAD_m7,,"Wild, Pero",NA,mature,24aug17_MAD_m7
22aug17_MAD_m1,,"Wild, Pero",NA,mature,22aug17_MAD_m1
22aug17_MAD_m3,,"Wild, Pero",NA,juvinille,22aug17_MAD_m3
21aug17_SPI_f1,,Spic,8/21/2017,"neonate, recently died",21aug17_SPI_f1
21aug17_SPI_f2,,Spic,8/21/2017,"neonate, recently died",21aug17_SPI_f2
21aug17_SPI_f3,,Spic,8/21/2017,"neonate, recently died",21aug17_SPI_f3
31jul17_HMI_m1,,HMI,4/27/2017,,31jul17_HMI_m1
13jul17_MSM_f1,,MSM,7/13/2017,,13jul17_MSM_f1
13jul17_MSM_f2,,MSM,7/13/2017,,13jul17_MSM_f2
13jul17_SPRET_f1,,SRET,,embryo (e18),13jul17_SPRET_f1
13jul17_SPRET_f2,,SRET,,embryo (e18),13jul17_SPRET_f2
13jul17_SPRET_f3,,SRET,,embryo (e18),13jul17_SPRET_f3
13jul17_SPRET_m1,,,10/13/2016,,13jul17_SPRET_m1
5jul17_SPRET,,,,,5jul17_SPRET
5jul17_MSM_m1,,MSM,12/1/2016,,5jul17_MSM_m1
5jul17_PERC_m1,,,5/23/2016,,5jul17_PERC_m1
5jul17_CAST_m1,,,11/24/2015,,5jul17_CAST_m1
5jul17_SPRET_m1,founder?,,,arrived 12/5/16,5jul17_SPRET_m1
30may17_SPRET_f1,,,5/30/2017,neonate,30may17_SPRET_f1
30may17_SPRET_m1,,,4/9/2017,,30may17_SPRET_m1
30may17_MSM_m1,,MSM,12/1/2016,,30may17_MSM_m1
8may17_CAST_f1,,CAST,5/8/2017,neonate,8may17_CAST_f1
8may17_LEW_m2,,LEW,8/20/2016,,8may17_LEW_m2
8may17_LEW_m1,1.2.m2,LEW,10/6/2016,,8may17_LEW_m1
8may17_SPRET_m1,,SRET,1/22/2017,,8may17_SPRET_m1
,,,,,
10apr17_LxP.F1_f1,,F1,4/10/2017,,10apr17_LxP.F1_f1
10apr17_LxP.F1_f2,,F1,4/10/2017,,10apr17_LxP.F1_f2
10apr17_LxP.F1_f3,,F1,4/10/2017,,10apr17_LxP.F1_f3
6apr17_LEW_m1,,,3/1/2017,,6apr17_LEW_m1
6apr17_LEW_m2,,,3/1/2017,,6apr17_LEW_m2
6apr17_LEW_m3,,,3/1/2017,,6apr17_LEW_m3
6apr17_LEW_m4,,,3/1/2017,,6apr17_LEW_m4
6apr17_LEW_m5,,,3/1/2017,,6apr17_LEW_m5
,,,,,
6apr17_LxP.F1_m1,,F1,2/28/2017,,6apr17_LxP.F1_m1
6apr17_LxP.F1_m2,,F1,2/28/2017,,6apr17_LxP.F1_m2
6apr17_LxP.F1_m3,,F1,2/27/2017,,6apr17_LxP.F1_m3
1mar17_CAST_f1,,CAST,3/1/2017,,1mar17_CAST_f1
,,,,,
12Feb17_LEW_m1,,LEW,2/1/2017,12.5 days,12Feb17_LEW_m1
12Feb17_LEW_m2,,LEW,2/1/2017,12.5 days,12Feb17_LEW_m2
,,,,,
13jan17_LEW_f1,,LEW,NA,e19,13jan17_LEW_f1
13jan17_LEW_f2,,LEW,NA,e19,13jan17_LEW_f2
13jan17_LEW_f3,,LEW,NA,e19,13jan17_LEW_f3
13jan17_LEW_m1,LEW_original founder,LEW,,original founder,13jan17_LEW_m1
,,,,,
4jan17_LEW_f1,,LEW,1/4/2017,neonates,4jan17_LEW_f1
4jan17_LEW_f2,,LEW,1/4/2017,neonates,4jan17_LEW_f2
4jan17_LEW_f3,,LEW,1/4/2017,neonates,4jan17_LEW_f3
,,,,,
4jan17_LEW_f4,,LEW,NA,e17-e19,4jan17_LEW_f4
4jan17_LEW_f5,,LEW,NA,e17-e19,4jan17_LEW_f5
4jan17_LEW_f6,,LEW,NA,e17-e19,4jan17_LEW_f6
4jan17_LEW_f7,,LEW,NA,e17-e19,4jan17_LEW_f7
,,,,,
30Dec16_MSM_m1,,MSM,12/18/2016,,30Dec16_MSM_m1
30Dec16_MSM_m2,,MSM,12/18/2016,,30Dec16_MSM_m2
30Dec16_MSM_m3,,MSM,12/18/2016,,30Dec16_MSM_m3
,,,,,
20dec16_MSM_m1,,MSM,10/5/2016,,20dec16_MSM_m1
20dec16_MSM_m2,,MSM,10/5/2016,,20dec16_MSM_m2
20dec16_LEW_m1,,LEW,10/6/2016,,20dec16_LEW_m1
20dec16_LEW_m2,original founder,LEW,5/1/2016,,20dec16_LEW_m2
20dec16_LEW_m3,,LEW,11/2/2016,,20dec16_LEW_m3
19dec16_LEW_f1,,LEW,12/18/2016,~24,19dec16_LEW_f1
19dec16_MSM_f1,,MSM,12/19/2016,,19dec16_MSM_f1
19dec16_MSM_f2,,MSM,12/19/2016,,19dec16_MSM_f2
,,,,,
13nov16_MSM_f2,,MSM,11/13/2016,,13nov16_MSM_f2
13nov16_MSM_m1,,MSM,4/18/2016,,13nov16_MSM_m1
13nov16_MSM_m2,original founder,MSM,4/18/2016,,13nov16_MSM_m2
,,,,,
30sep16_MSM_f1,,MSM,9/30/2016,,30sep16_MSM_f1
30sep16_MSM_f2,,MSM,9/30/2016,,30sep16_MSM_f2
30sep16_MSM_f3,,MSM,9/30/2016,,30sep16_MSM_f3
,,,,,
12sep16_MSM_f1,,MSM,9/12/2016,(from founders 2 x 2,12sep16_MSM_f1
12sep16_MSM_f2,,MSM,9/12/2016,,12sep16_MSM_f2
12sep16_MSM_f3,,MSM,9/12/2016,,12sep16_MSM_f3
,,,,,
31aug16_MSM_m1,,,6/28/2016,DB 6/28/16 parents MSM 1 founder,31aug16_MSM_m1
31aug16_MSM_m2,,,6/28/2016,DB 6/28/16 parents MSM 1 founder,31aug16_MSM_m2
,,,,,
,,,,,
30jun16_CAST_m1,,CAST,4/27/2016,~9w,30jun16_CAST_m1
30jun16_CAST_m2,,CAST,4/27/2016,~9w,30jun16_CAST_m2
30jun16_CAST_m3,,CAST,11/24/2015,~21w,30jun16_CAST_m3
4apr16_WSB_f2,,WSB,,,4apr16_WSB_f2
4apr16_WSB_f1,,WSB,,,4apr16_WSB_f1
,,,,,
1apr16_PWD_m1,,BD 2/1/16,2/1/2016,,1apr16_PWD_m1
1apr16_PWD_m2,,,2/1/2016,,1apr16_PWD_m2
1apr16_PWD_m3,,,2/8/2016,,1apr16_PWD_m3
1apr16_G_m1,,L1-3,2/4/2016,,1apr16_G_m1
1apr16_G_m2,,L1-3,2/4/2016,,1apr16_G_m2
1apr16_G_m3,,L1-3,2/4/2016,,1apr16_G_m3
1apr16_G_m4,,"G (L1-3 F8, BD 2/4/16)",2/4/2016,,1apr16_G_m4
1apr16_WSB_m1,,(WSB from charmony),10/19/2015,BD 10/19/15,1apr16_WSB_m1
,,,,,
17mar16_G_f1,,Gough L1-3 F8,3/17/2016,neonate 5,17mar16_G_f1
17mar16_G_f2,,Gough L1-3 F8,3/17/2016,,17mar16_G_f2
17mar16_G_f3,,Gough L1-3 F8,3/17/2016,,17mar16_G_f3
17mar16_G_f4,,Gough L1-3 F8,3/17/2016,,17mar16_G_f4
17mar16_G_f5,,Gough L1-3 F8,3/17/2016,,17mar16_G_f5
,,,,,
6mar16_PWD_m1,,PWD,1/11/2016,DB 11jan16  7 weeks,6mar16_PWD_m1
6mar16_G_m1,5067,Gough L1-3 F8,12/20/2015,11w,6mar16_G_m1
6mar16_G_m2,5064,Gough L1-3 F8,12/20/2015,11w,6mar16_G_m2
6mar16_G_m3,5066,Gough L1-3 F8,12/20/2015,11w,6mar16_G_m3
,,,,,
22feb16_G_m1,5068,Gough L1-3 F8,12/20/2015,(DB 12/20/15),22feb16_G_m1
,,,,,
16jan16_G_f1,,gough (probably 1-3),1/16/2016,neonates,16jan16_G_f1
16jan16_G_f2,,,1/16/2016,,16jan16_G_f2
16jan16_G_f3,,,1/16/2016,,16jan16_G_f3
,,,,,
20feb16_G_f1,,Gough L1-3 F8,,17.5,20feb16_G_f1
20feb16_G_f2,,Gough L1-3 F8,,17.5,20feb16_G_f2
20feb16_G_f3,,Gough L1-3 F8,,17.5,20feb16_G_f3
,,,,,
3jan16_G_m1,5046,Gough L1-3 F8,11/30/2015,6.2,3jan16_G_m1
3jan16_G_m2,4718,Gough L1-3 F6,8/12/2015,20,3jan16_G_m2
,,,,,
,,,,,
24nov15_WSB_f1,,WSB,11/24/2015,>12 <24,24nov15_WSB_f1
24nov15_WSB_f2,,WSB,11/24/2015,,24nov15_WSB_f2
3nov15_WSB_f1,,,11/3/2015,,3nov15_WSB_f1
,,,,,
19oct15_G_m1,,Gough L3 F11,2/20/2015,,19oct15_G_m1
12oct15_WSB_f1,,WSB,10/12/2015,24hr,12oct15_WSB_f1
12oct15_G_m1,4523,Gough L2_F9,5/16/2015,21 weeks,12oct15_G_m1
12oct15_WSB_m1,,WSB,2/12/2015,34 weeks,12oct15_WSB_m1
16sep15_WSB_m1,,WSB,6/14/2015,13 weeks,16sep15_WSB_m1
22jun15_G_m1,4441,Gough L1_3 F6,4/2/2015,11 weeks,22jun15_G_m1
22jun15_G_m2,4459,Gough L1_3 F6,4/3/2015,11 weeks,22jun15_G_m2
,,,,,
16jun15_WSB_f1,,WSB,,e17,16jun15_WSB_f1
16jun15_WSB_f2,,WSB,,,16jun15_WSB_f2
16jun15_WSB_f3,,WSB,,12-16 dpc,16jun15_WSB_f3
16jun15_WSB_f4,,WSB,,e17,16jun15_WSB_f4
,,,,,
12jun15_WSB_m1,,WSB,4/4/2015,,12jun15_WSB_m1
12jun15_WSB_m2,,WSB,4/4/2015,,12jun15_WSB_m2
12jun15_WSB_f1,,WSB,,e17-e21,12jun15_WSB_f1
12jun15_WSB_f2,,WSB,,e17-e21,12jun15_WSB_f2
,,,,,
8jun15_G_f1,,G 4 females collected,,~13-18 embryonic days,8jun15_G_f1
8jun15_G_f2,,,,,8jun15_G_f2
8jun15_G_f3,,,,,8jun15_G_f3
8jun15_G_f4,,,,,8jun15_G_f4
18may15_WSB_m1,,WSB,3/19/2015,"8-10 weeks
",18may15_WSB_m1
18may15_PWD_m1,,PWD,3/30/2015,"8-10 weeks
",18may15_PWD_m1
18may15_PWD_m2,,,3/30/2015,"8-10 weeks
",18may15_PWD_m2
24apr15_PWD_m1,,PWD,3/23/2015,5w,24apr15_PWD_m1
24apr15_PWD_m2,,,3/23/2015,,24apr15_PWD_m2
24apr15_WSB_m1,,WSB,11/26/2014,21 w,24apr15_WSB_m1
23apr15_PWD_f1,,PWD,4/23/2015,neonates,23apr15_PWD_f1
23apr15_PWD_f2,,,4/23/2015,,23apr15_PWD_f2
,,,,,
23apr15_WSB_f1,,WSB,,e18-21,23apr15_WSB_f1
17apr15_PWD_f1,,PWD,4/17/2015,neonates,17apr15_PWD_f1
17apr15_PWD_f2,,,4/17/2015,,17apr15_PWD_f2
17apr15_PWD_f3,,,4/17/2015,,17apr15_PWD_f3
17apr15_PWD_f4,,,4/17/2015,,17apr15_PWD_f4
,,,,,
4apr15_WSB_f1,,,4/4/2015,,4apr15_WSB_f1
4apr15_WSB_f2,,WSB,4/4/2015,neonates,4apr15_WSB_f2
1april15_PWD_f1,,PWD (2 females)  16-17embryonic days,,e16-17,1april15_PWD_f1
1april15_PWD_f2,,,,e16-17,1april15_PWD_f2
31mar15_WSB_m1,,WSB (3 mature males),11/27/2014,,31mar15_WSB_m1
31mar15_WSB_m2,,,11/27/2014,,31mar15_WSB_m2
31mar15_WSB_m3,,,10/16/2014,,31mar15_WSB_m3
24mar15_G_m1,4105,"1 G male (4105, L2_F8) 1 PWD male",9/5/2014,"28, 12",24mar15_G_m1
14mar15_G_m1,2939,G (2 mature males)_L2_F7,4/12/2014,11months,14mar15_G_m1
14mar15_G_m2,2933,,4/12/2014,,14mar15_G_m2
10mar15_PWD_m1,,PWD(2 mature),12/10/2014,,10mar15_PWD_m1
10mar15_PWD_m2,,,12/10/2014,,10mar15_PWD_m2
10mar15_WSB_m1,,WSB(2 mature),11/10/2014,,10mar15_WSB_m1
10mar15_WSB_m2,,,11/10/2014,,10mar15_WSB_m2
1mar15_WSB_m1,,WSB,10/16/2014,,1mar15_WSB_m1
1mar15_PWD_m1,,PWD,12/10/2014,,1mar15_PWD_m1
28feb15_PWD_f1,,PWD (e18),,e18,28feb15_PWD_f1
28feb15_PWD_f2,,,,e18,28feb15_PWD_f2
28feb15_PWD_f3,,,,e18,28feb15_PWD_f3
28feb15_PWD_f4,,,,e18,28feb15_PWD_f4
28feb15_PWD_f5,,,,e18,28feb15_PWD_f5
28feb15_PWD_f6,,,,e18,28feb15_PWD_f6
,,,,,
30dec14_WSB_m1,,WSB,12/17/2014,,30dec14_WSB_m1
30dec14_WSB_m2,,,12/17/2014,,30dec14_WSB_m2
30dec14_WSB_m3,,,12/17/2014,,30dec14_WSB_m3
30dec14_WSB_m4,,,12/17/2014,,30dec14_WSB_m4
30dec14_WSB_m5,,,12/17/2014,,30dec14_WSB_m5
,,,,,
21dec14_WSB_m1,,WSB,6/30/2014,,21dec14_WSB_m1
