mouse,repeat.good,age,sp1,sp2,sp3,sp1 cells,sp2 cells,sp3 cells
7aug18_LEW_m1,,,7aug18_MLH1-1,DMC1,,,,
7aug18_AST_m1,,,7aug18_MLH1-2,DMC1,,,,
7aug18_SPRET_m1,,,7aug18_MLH1-1,,,,,
7aug18_SPRET_m2,,,7aug18_MLH1-2,,,,,
2aug18_SPIC_m1,,,7aug18_MLH1-1,DMC1,,,,
2aug18_SPRET_m1,,,7aug18_MLH1-1,DMC1,,,,
,,,,,,,,
3jul18_SKIVE_f1,,,8jul18_MLH1-1,,,,,
3jul18_SKIVE_f2,,,8jul18_MLH1-1,,,,,
3jul18_TOM_m1,3jul18_TOM_m1,,8jul18_MLH1-1,,,,,
4jul18_MAD_m23,4jul18_MAD_m23,,8jul18_MLH1-1,,,,,
4jul18_MAD_m24,4jul18_MAD_m24,,8jul18_MLH1-1,,,,,
28jun18_MOLF_m1,28jun18_MOLF_m1,,1jul18_MLH1-1,,,,,
28jun18_TOM_m1,,,1jul18_MLH1-2,MLH1,,,,
28jun18_HMI_m1,,,1jul18_MLH1-1,,,,,
28jun18_SPIC_m1,28jun18_SPIC_m1,,22jun18_MLH1-2,8jul18_MLH1-1,,,,
28jun18_SPIC_m2,28jun18_SPIC_m2,,1jul18_MLH1-1,,,,,
28jun18_SPIC_m3,,,1jul18_MLH1-2,,,,,
28jun18_MAD_19,,,1jul18_MLH1-1,28aug18_MLH1-1,,,,
28jun18_MAD_18,,,1jul18_MLH1-1,,,,,
8jun18_CZECH_m1,,,22jun18_MLH1-1,DMC1,,,,
8jun18_CZECH_m2,,,25jun18_MLH1,DMC1,,,,
8jun18_AST_m1,,,22jun18_MLH1-1,,,,,
8jun18_SPIC_m1,,,MLH1,,,,,
8jun18_SPIC_m2,,,MLH1,,,,,
8jun18_SKIVE_f1,,,22jun18_MLH-1,MLH1,,,,
8jun18_SKIVE_f2,,,22jun18_MLH-1,MLH1,,,,
8jun18_SKIVE_f3,,,22jun18_MLH-2,MLH1,,,,
30may18_MAD_m15,,,1jun18_MLH1_sp1,28aug18_MLH1-2,DMC1,,,
30may18_KAZ_m1,,,6jun18_MLH1_sp1,,,,,
30may18_KAZ_m2,,,,,,,,
30may18_KAZ_m3,,,,,,,,
30may18_SPIC_f1,,,28aug18_MLH1-2,,,,,
30may18_SPIC_f2,,,11jun18_MLH1,28aug18_MLH1-1,,,,
30may18_SPIC_f3,,,22jun18_MLH-1,,,,,
30may18_SPIC_f4,,,6jun18_MLH1_sp1,MLH1,,,,
30may18_SPIC_f5,,,11jun18_MLH1,28aug18_MLH1-2,,,,
21may18_KAZ_m2,,,1jun18_MLH1_sp1,,,,,
21may18_KAZ_m1,,,22jun18_MLH1-1,,,,,
19may18_KAZ_m1,,,11jun18_MLH1,DMC1,,,,
19may18_KAZ_m2,,,MLH1,,,,,
19may18_SPIC_m1,,,,,,,,
19may18_SPIC_m2,,,6jun18_MLH1_sp1,,,,,
9apr18_MAD_m13,,,21may18_MLH1,12sep18_MLH1-1,,,,
9apr18_MAD_m14,,,21may18_MLH1,MLH1,,,,
,,,,,,,,
9apr18_CAROLI_m1,,,MLH1,,,,,
9apr18_KAZ_m1,,,22jun18_MLH1-1,,,,,
9apr18_KAZ_m2,,,1jun18_MLH1_sp1,,,,,
1mar18_CAROLI_m1,1mar18_CAROLI_m1,,8jul18_MLH1-2,DMC1,,,,
1mar18_CAROLI_m2,,,MLH1,,,,,
1mar18_WSB_m1,,,29oct18_MLH1-1,,,,,
1mar18_WSB_m2,1mar18_WSB_m2,,1jul18_MLH1-2,,,,,
11feb18_KAZ_m1,11feb18_KAZ_m1,,20feb18_MLH1-1,DMC1,1jul18_MLH1-2,,,
11feb18_KAZ_m2,,,20feb18_MLH1-1,DMC1,,,,
11feb18_KAZ_m3,,,20feb18_MLH1-1,,,,,
3feb18_MAD_m12,3feb18_MAD_m12,,20feb18_MLH1-1,DMC1,,,,
3feb18_MAD_m11,3feb18_MAD_m11,,20feb18_MLH1-2,DMC1,,,,
1feb18_KAZ_f1,1feb18_KAZ_f1,,4feb18_MLH1-1,DMC1,,,,
1feb18_KAZ_f2,1feb18_KAZ_f2,,4feb18_MLH1-1,DMC1,,,,
1feb18_KAZ_f3,,,4feb18_MLH1-2,,,,,
1feb18_KAZ_f4,1feb18_KAZ_f4,,4feb18_MLH1-1,DMC1,,,,
1feb18_KAZ_f5,,,4feb18_MLH1-1,DMC1,,,,
1feb18_KAZ_f6,,,4feb18_MLH1-2,,,,,
1feb18_LEW_f1,,,4feb18_MLH1-2,,,,,
1feb18_LEW_m1,,,4feb18_MLH1-1,,,,,
1feb18_MSM_m1,,,4feb18_MLH1-1,DMC1,,,,
1feb18_KAZ_m1,1feb18_KAZ_m1,,4feb18_MLH1-2,,,,,
11jan18_KAZ_m1,,,22jan18_MLH1-1,12feb18_DMC1-2,,,,
11jan18_KAZ_m2,,,22jan18_MLH1-1,12feb18_DMC1-2,,,,
11jan18_KAZ_m3,,,22jan18_MLH1-1,12feb18_DMC1-2,,,,
11jan18_KAZ_m4,,,22jan18_MLH1-1,12feb18_DMC1-2,,,,
11jan18_SPRET_m1,,,22jan18_MLH1-1,,,,,
11jan18_SPIC_m1,,,22jan18_MLH1-1,12feb18_DMC1-1,,,,
11jan18_KAZ_f1,,,22jan18_MLH1-2,12feb18_DMC1-2,,,,
11jan18_KAZ_f2,,,22jan18_MLH1-2,,,,,
11jan18_KAZ_f3,11jan18_KAZ_f3,,22jan18_MLH1-2,12feb18_DMC1-2,,,,
11jan18_SPIC_f1,11jan18_SPIC_f1,,22jan18_MLH1-2,12feb18_DMC1-1,,,,
11jan18_SPIC_f2,,,22jan18_MLH1-2,12feb18_DMC1-1,,,,
,,,,,,,,
31dec17_MSM_f1,31dec17_MSM_f1,,3jan18_MLH1-1,DMC1-1,,,,
31dec17_MSM_f2,31dec17_MSM_f2,,3jan18_MLH1-1,DMC1-1,,,,
31dec17_MSM_f3,31dec17_MSM_f3,,3jan18_MLH1-1,DMC1-1,,,,
31dec17_MSM_f4,31dec17_MSM_f4,,3jan18_MLH1-1,DMC1-1,,,,
31dec17_MSM_f5,31dec17_MSM_f5,,3jan18_MLH1-1,DMC1-1,,,,
31dec17_SPIC_f1,,,3jan18_MLH1-1,DMC1-1,7aug18_MLH1-1,,,
31dec17_SPIC_f2,,,3jan18_MLH1-2,DMC1,7aug18_MLH1-2,,,
4dec17_SPIC_f1,4dec17_SPIC_f1,,10dec17_MLH1,,,,,
4dec17_SPIC_f2,4dec17_SPIC_f2,,10dec17_MLH1,26dec17_DMC1_sp2,DMC1,,,
4dec17_SPIC_m1,4dec17_SPIC_m1,,10dec17_MLH1,26dec17_DMC1_sp2,,,,
4dec17_KAZ_m1,4dec17_KAZ_m1,,10dec17_MLH1,26dec17_DMC1_sp2,,,,
4dec17_HMI_m1,4dec17_HMI_m1,,10dec17_MLH1,26dec17_DMC1_sp2,,,,
,,,,,,,,
18nov17_WSB_f1,18nov17_WSB_f1,,4dec17_MLH1,8dec17_DMC1,,,,
18nov17_WSB_f2,18nov17_WSB_f2,,4dec17_MLH1,8dec17_DMC1,,,,
18nov17_WSB_f3,18nov17_WSB_f3,,4dec17_MLH1,8dec17_DMC1,,,,
18nov17_WSB_f4,18nov17_WSB_f4,,4dec17_MLH1,8dec17_DMC1,,,,
18nov17_WSB_f5,,,4dec17_MLH1,8dec17_DMC1,MLH1,,,
,,,,,,,,
16nov17_MSM_f1,16nov17_MSM_f1,,17nov17_MLH1,8dec17_DMC1,,,,
16nov17_MSM_f2,16nov17_MSM_f2,,17nov17_MLH1,8dec17_DMC1,,,,
16nov17_MSM_f3,16nov17_MSM_f3,,17nov17_MLH1,8dec17_DMC1,,,,
16nov17_SPRET_f1,,,17nov17_MLH1,20feb18_MLH1-2,,,,
7nov17_SPIC_m1,7nov17_SPIC_m1,,17nov17_MLH1,8dec17_DMC1,,,,
7nov17_KAZ_m1,7nov17_KAZ_m1,,17nov17_MLH1,8dec17_DMC1,,,,
7nov17_SPIC_f1,,,4dec17_MLH1,26dec17_DMC1_sp2,,,,
30oct17_SPIC_m1,,,31oct17_MLH1,MLH1,,,,
30oct17_SPIC_m2,,,31oct17_MLH1,25jun18_MLH1,,,,
30oct17_SPIC_m3,,,31oct17_MLH1,8dec17_DMC1,,,,
30oct17_SPIC_m4,,,31oct17_MLH1,8dec17_DMC1,,,,
30oct17_SPIC_f1,,,31oct17_MLH1,MLH1,,,,
30oct17_HMI_m1,30oct17_HMI_m1,,31oct17_MLH1,22jun18_MLH1-2,7aug18_MLH1-2,,,
,,,,,,,,
19oct17_SPIC_f1,,,22oct17_MLH1,3jan18_MLH1-2,MLH1,,,
19oct17_SPIC_f2,,,22oct17_MLH1,MLH1,,,,
19oct17_SPIC_f3,,,22oct17_MLH1,DMC1,,,,
19oct17_SPIC_f4,,,22oct17_MLH1,DMC1,,,,
19oct17_SPRET_f1,,,22oct17_MLH1,3jan18_MLH1-2,MLH1,,,
19oct17_SPRET_f2,,,22oct17_MLH1,3jan18_MLH1-2,MLH1,,,
19oct17_LEW_f1,,,,3jan18_MLH1-2,20feb18_MLH1-2,,,
19oct17_LEW_f2,,,,3jan18_MLH1-2,25jun18_MLH1,,,
,,,,,,,,
13oct17_SPRET_m1,,,20oct17_MLH1,1jul18_MLH1-2,,,,
13oct17_SPRET_m2,13oct17_SPRET_m2,,20oct17_MLH1,20feb18_MLH1-2,22jun18_MLH1-2,,,
13oct17_WSB_f1,,neonate,20oct17_MLH1,,20feb18_MLH1-2,,,
13oct17_WSB_f2,,neonate,20oct17_MLH1,,20feb18_MLH1-2,,,
,,,,,,,,
13oct17_MAD_m9,,,20oct17_MLH1,28aug18_MLH1-2,,,,
,,,,,,,,
10oct17_LEW_f1,,,MLH1,,,,,
10oct17_LEW_f2,,,MLH1,,,,,
10oct17_MSM_m1,,,13oct17_MLH1,,,,,
10oct17_MSM_m2,,,MLH1,,,,,
10oct17_WSB_m1,,,,,,,,
10oct17_SPRET_m1,,,,1jul18_MLH1-1,,,,
10oct17_LEW_m1,,,MLH1,,,,,
10oct17_LEW_m2,,,MLH1,,,,,
10oct17_LEW_m3,,,MLH1,,,,,
,,,,,,,,
9oct17_LEW_f1,,,MLH1_TBA,,,,,
9oct17_LEW_f2,,,MLH1_TBA,,,,,
23sep17_CAST_m1,,,,,,,,
23sep17_CAST_m2,,,13oct17_MLH1,,,,,
23sep17_SPRET_f1,,,13oct17_MLH1,20oct17_MLH1,,,,
23sep17_SPRET_f2,,,13oct17_MLH1,,,,,
23sep17_SPRET_f3,,,13oct17_MLH1,22jan18_MLH1-2,,,,
,,,,,,,,
18sep17_LEW_m1,,,MLH1,,,,,
18sep17_LEW_m2,,,MLH1,,,,,
18sep17_LEW_m3,,,MLH1,20feb18_MLH1-1,,,,
18sep17_LEW_m4,,,,,,,,
18sep17_LEW_m5,,,MLH1,,,,,
13sep17_LEW_m1,,12.5,MLH1,DMC1,,,,
13sep17_LEW_m2,,12.5,MLH1,DMC1,,,,
13sep17_LEW_m3,,12.5,MLH1,DMC1,,,,
12sep17_PWD_m1,,12.5,13oct17_MLH1,DMC1,,,,
12sep17_PWD_m2,,12.5,MLH1,DMC1,,,,
12sep17_PWD_m3,,12.5,MLH1,DMC1,,,,
24aug17_PERC_m1,,,11jun18_MLH1,DMC1,,,,
24aug17_MAD_m7,24aug17_MAD_m7,,6jun18_MLH1,,,,,
24aug17_MAD_m6,24aug17_MAD_m6,,6jun18_MLH1,,,,,
24aug17_CAST_m1,,,6jun18_MLH1,,,,,
22aug17_MAD_m1,22aug17_MAD_m1,,23aug17_MLH1,DMC1,,,,
22aug17_MAD_m3,22aug17_MAD_m3,,23aug17_MLH1,DMC1,,,,
,,,,,,,,
21aug17_SPI_f1,,neonate,23aug17_MLH1,MLH1,,,,
21aug17_SPI_f2,21aug17_SPI_f2,neonate,23aug17_MLH1,,,,,
21aug17_SPI_f3,21aug17_SPI_f3,neonate,23aug17_MLH1,,,,,
,,,,,,,,
31jul17_HMI_m1,31jul17_HMI_m1,,4aug17_MLH1,7aug18_MLH1-2,,,,
14jul17_SPRET_f1,,neonate,15jul17_MLH1,23aug17_MLH1,,,,
14jul17_SPRET_f2,,neonate,15jul17_MLH1,MLH1,,,,
14jul17_SPRET_f3,,neonate,15jul17_MLH1,MLH1,,,,
14jul17_MSM_f1,14jul17_MSM_f1,,15jul17_MLH1,DMC1,,,,
14jul17_MSM_f2,,,15jul17_MLH1,,,,,
14jul17_LEW_f1,,,15jul17_MLH1,DMC1,,,,
5jul17_MSM_m1,5jul17_MSM_m1,,4aug17_MLH1,DMC1,,,,
5jul17_CAST_m1,,,4aug17_MLH1,,10dec17_MLH1,,,
5jul17_SPRET_m1,,,12jul17_MLH1,DMC1,,,,
5jul17_PERC_m1,,,12jul17_MLH1,MLH1,MLH1,,,
4jul17_MSM_f1,,,,,,,,
30may17_SPRET_f1,,,12jul17_MLH1,MLH1,,,,
30may17_SPRET_m1,,,12jul17_MLH1,DMC1,,,,
30may17_MSM_m1,30may17_MSM_m1,,MLH1,DMC1,,,,
8may17_CAST_f1,,,8jul18_MLH1-2,,,,,
8may17_CAST_f2,,,MLH1,MLH1?,,,,
8may17_LEW_m2,8may17_LEW_m2,,MLH1,DMC1,,,,
8may17_LEW_m1,,,MLH1,DMC1,,,,
8may17_SPRET_m1,,,12may17_MLH1,DMC1,,,,
10apr17_LxP.F1_f1,,,12may17_MLH1,,,,,
10apr17_LxP.F1_f2,,,MLH1,,,,,
10apr17_LxP.F1_f3,,,MLH1,,,,,
,,,,,,,,
6apr17_LEW_m1,,,12may17_MLH1,12may17_DMC1,,,,
6apr17_LEW_m2,,,25jun18_MLH1,MLH1,,,,
6apr17_LEW_m3,,,12may17_MLH1,,,,,
6apr17_LEW_m4,,,,,,,,
6apr17_LEW_m5,,,12may17_MLH1,,,,,
,,,,,,,,
6apr17_LxP.F1_m1,,,MLH1,,,,,
6apr17_LxP.F1_m2,,,MLH1,,,,,
6apr17_LxP.F1_m3,,,MLH1,,,,,
,,,,,,,,
1mar17_CAST_f1,,,3mar17_MLH1,MLH1,MLH1,,,
12Feb17_LEW_m1,,,15jul17_MLH1,MLH1,,,,
12Feb17_LEW_m2,,,DMC1,20feb18_MLH1-1,,,,
13jan17_LEW_m1,,,3mar17_MLH1,DMC1,,,,
13jan17_LEW_f1,,17-19,3mar17_MLH1,12may17_DMC1,,,,
13jan17_LEW_f2,13jan17_LEW_f2,17-19,3mar17_MLH1,29mar17_DMC1,,,,
13jan17_LEW_f3,13jan17_LEW_f3,17-19,3mar17_MLH1,DMC1,,,,
,,,,,,,,
4jan17_LEW_m1,4jan17_LEW_m1,,6jan17_MLH1_sp1,,,,,
4jan17_LEW_f1,4jan17_LEW_f1,neonate,5jan17_MLH1_sp1,DMC1,,,,
4jan17_LEW_f2,,neonate,MLH16jan17_MLH1_sp1,,,,,
4jan17_LEW_f3,,neonate,6jan17_MLH1_sp1,MLH1,,,,
4jan17_LEW_f4,,17-19,3mar17_MLH1,29mar17_DMC1,,,,
4jan17_LEW_f5,,17-19,28aug18_MLH1-1,,,,,
4jan17_LEW_f6,,17-19,6jan17_MLH1_sp1,,,,,4
4jan17_LEW_f7,,17-19,6jan17_MLH1_sp1,MLH1,,,,
,,,,,,,,
30dec16_MSM_m1,,12.5,DMC1,MLH1,,,,
30dec16_MSM_m2,,12.5,DMC1,MLH1,,,,
30dec16_MSM_m3,,12.5,DMC1,MLH1,,,,
,,,,,,,,
20dec16_MSM_m1,,,5jan19_MLH1,,,,,
20dec16_MSM_m2,,,25jun18_MLH1,,,,,
20dec16_LEW_m1,20dec16_LEW_m1,,5jan17_MLH1_sp1,,,,,
20dec16_LEW_m2,20dec16_LEW_m2,,5jan17_MLH1_sp1,,,,,
20dec16_LEW_m3,20dec16_LEW_m3,,6jan17_MLH1_sp1,,,,,
19Dec16_LEW_f1,,,5jan17_MLH1_sp1,,,,,
19Dec16_MSM_f1,,,5jan17_MLH1_sp1,,,,,
19Dec16_MSM_f2,,,5jan17_MLH1_sp1,,,,,
13nov16_WSB_m1,,,25jun18_MLH1,,,,,
13nov16_MSM_f1,13nov16_MSM_f1,,17nov16_MLH1_sp1,DMC1,29mar17_DMC1,,,
13nov16_MSM_f2,13nov16_MSM_f2,,17nov16_MLH1_sp1,DMC1,,,,
13nov16_MSM_m1,13nov16_MSM_m1,,17nov16_MLH1_sp1,DMC1,,,,
13nov16_MSM_m2,13nov16_MSM_m2,,17nov16_MLH1_sp1,DMC1,,,,
13nov16_LEWES_m1,13nov16_LEWES_m1,,17nov16_MLH1_sp1,DMC1,,,,
,,,,,,,,
30sep16_MSM_m1,,,MLH1,,,,,
30sep16_MSM_m2,,,MLH1,,,,,
30sep16_LEWES_m1,,,6oct16_MLH1_sp1,,,,,
30sep16_MSM_f1,,neonate,stained MLH1?,,,,,
30sep16_MSM_f2,30sep16_MSM_f2,neonate,17nov16_MLH1_sp1,DMC1,,,,
30sep16_MSM_f3,,neonate,MLH1,,,,,
12sep16_MSM_f1,,neonate,13sep16_MLH1_sp1,,,,,
12sep16_MSM_f2,,neonate,13sep16_MLH1_sp1,,,,,
12sep16_MSM_f3,,neonate,13sep16_MLH1_sp1,,,,,
,,,,,,,,
31aug16_MSM_m1,31aug16_MSM_m1,9,13sep16_MLH1_sp1,DMC1,,,,
31aug16_MSM_m2,,9,13sep16_MLH1_sp1,,,,,
30jun16_CAST_m1,30jun16_CAST_m1,~9,1july16_MLH1_sp1,22jun18_MLH1-2,MLH1,,,
30jun16_CAST_m2,,~9,1july16_MLH1_sp1,DMC1,MLH1,,,
30jun16_CAST_m3,30jun16_CAST_m3,~21,1july16_MLH1_sp1,DMC1,,,,
1apr16_PWD_m,,,20may16_MLH1_sp1,DMC1,,,,
1apr16_G_m1,,,20may16_MLH1_sp1,DMC1,,,,
1apr16_G_m2,,,MLH1,,,,,
1apr16_G_m3,,,MLH1,,,,,
1apr16_G_m4,,,MLH1,,,,,
1apr16_WSB_m (from charmony,,,20may16_MLH1_sp1,DMC1,,,,
17mar16_G_f1,17mar16_G_f1,neonate,22mar16_MLH1_sp1,11apr16_DMC1_sp2,29mar17_DMC1_sp3,,,
17mar16_G_f2,17mar16_G_f2,neonate,24mar16_MLH1,11apr16_DMC1_sp2,,,,
17mar16_G_f3,17mar16_G_f3,neonate,24mar16_MLH1,11apr16_DMC1_sp2,DMC1 or RAD51,,,
17mar16_G_f4,,neonate,24mar16_MLH1,11apr16_DMC1_sp2,,,,
17mar16_G_f5,17mar16_G_f5,neonate,18mar16_MLH1,11apr16_DMC1_sp2,29mar17_DMC1,,,
,,,,,,,,
6mar16_PWD_m1,6mar16_PWD_m1,7.8w,18mar16_MLH1,DMC1,,,,
6mar16_G_m1,6mar16_G_m1,11w,18mar16_MLH1,DMC1,,,,
6mar16_G_m2,6mar16_G_m2,11w,18mar16_MLH1,DMC1,,,,
6mar16_G_m3,6mar16_G_m3,11w,18mar16_MLH1,DMC1,,,,
22feb16_G_m1,22feb16_G_m1,9w,26feb16_MLH1,DMC1,,,,
20feb16_G_f1,,17.5,26feb16_MLH1,DMC1,,,,
20feb16_G_f2,20feb16_G_f2,17.5,26feb16_MLH1,DMC1,,,,
20feb16_G_f3,20feb16_G_f3,17.5,26feb16_MLH1,DMC1,,,,
16jan16_G_f1,16jan16_G_f1,neonate,15jan16_MLH1,,,,,
16jan16_G_f2,16jan16_G_f2,neonate,15jan16_MLH1,,,,,
16jan16_G_f3,16jan16_G_f3,neonate,15jan16_MLH1,,,,,
,,,,,,,,
3jan16_G_m2,3jan16_G_m2,20 w,4jan16_MLH1_sp1,18may16_DMC1_sp2,,,,
3jan16_G_m1,3jan16_G_m1,6 w,4jan16_MLH1_sp1,18may16_DMC1_sp2,RAD51,,,
24nov15_WSB_f1,,neonate,4dec14_MLH1_sp1,15dec15_MLH1,,,,
24nov15_WSB_f2,,neonate,4dec14_MLH1_sp1,15dec15_MLH1,,,,
3nov15_WSB_f1,,neonate,4dec14_MLH1_sp1,4jan16_MLH1_sp2,22feb16_MLH1_sp3,,,
19oct15_WSB_m1,,18w,4dec14_MLH1_sp1,25may16_DMC1_sp2,,,,
19oct15_G_m1,,34w,4dec14_MLH1_sp1,,,,,
12oct15_G_m1,12oct15_G_m1,21w,13oct15_MLH1_sp1 (23 good Images),19oct15_DMC1_sp2,,,,
12oct15_WSB_m1,,34w,13oct15_MLH1,,,,,
16sep15_WSB_m1,16sep15_WSB_m1,13w,13oct15_MLH1_sp1,18may16_DMC1_sp2,,,,
,,,,,,,,
22jun15_G_m1,22jun15_G_m1,11w,"13jul15_MLH1_sp1, cells very broken, very hard to find intact cells",13aug15_MLH1_sp2,17 decent cells,,,
22jun15_G_m2,22jun15_G_m2,11w,13jul15_MLH1_sp1 >25 good cells,6sep15_DMC1_sp2,DMC1 or RAD51,,,
,,,,,,,,
16jun15_WSB_f1,,14-21dpc,22jun15_MLH1_sp1,13aug15_MLH1_sp2,,,,
16jun15_WSB_f2,,12-16 dpc,22jun15_MLH1_sp1,31aug15_MLH1,,,,
16jun15_WSB_f3,,14-21dpc,"22jun15_MLH1_sp1, foci not distinct",31aug15_MLH1,,,,
16jun15_WSB_f4,16jun15_WSB_f4,e17,"22jun15_MLH1_sp1, high cell density, low signal, ~10 good cells",13aug15_MLH1_sp2,very low foci signal,,,
,,,,,,,,
12jun15_WSB_m1,12jun15_WSB_m1,10 weeks,"22jun15_MLH1_sp1, 13 good cells",DMC1,,,,
12jun15_WSB_m2,12jun15_WSB_m2,10 weeks,"22jun15_MLH1_sp1, some good cells",<image more,,,,
12jun15_WSB_f1,12jun15_WSB_f1,17-21 dpc,"16jun15_MLH1_sp1, ~20 good image",MLH1,DMC1,,,
12jun15_WSB_f2,X,0days/neonate,"16jun15_MLH1_sp1 awesome, 7 good images 30 cells imaged",13aug15_MLH1_sp2,15dec15_MLH1_sp3,"all very faint foci, <10 good cells",,
,,,,,,,,
8jun15_G_f1,8jun15_G_f1,13-18 dpc,"16jun15_MLH1_sp1, (few good cells) 10/14 cells",31aug15_MLH1,,,,
8jun15_G_f2,,13-18 dpc,"16jun15_MLH1_sp1, 1 good cell",13aug15_MLH1_sp2,15dec15_MLH1_sp2,,,
8jun15_G_f3,8jun15_G_f3,13-18 dpc,"16jun15_MLH1_sp1, 4good/44, 30/44 semi good cells",31aug15_MLH1,,,,
8jun15_G_f4,8jun15_G_f4,13-18 dpc,"16jun15_MLH1_sp1, 4 good cells",31aug15_MLH1,,,,
18may15_PWD_m1,18may15_PWD_m1,8 w,MLH1,DMC1 or RAD51,,,,
18may15_PWD_m2,18may15_PWD_m2,7-8w,"13jul15_MLH1_sp1, very good slide",6sep15_DMC1_sp2,DMC1,,,
18may15_WSB_m1,18may15_WSB_m1,7-8w,"19apr15_MLH1, very good slide",6sep15_DMC1_sp2,,,,
18may15_WSB_m2,,8w,"19apr15_MLH1, 20 good cells images",6sep15_DMC1_sp2,<- can't find WSB_m2,,,
,,8w,MLH1? have trouble finding,can't find,,,,
,,,,,,,,
24apr15_WSB_m1,,21,20may16_MLH1_sp1,,,,,
24apr15_PWD_m1,,5,20may16_MLH1_sp1,,,,,
24apr15_PWD_m2,,5,20may16_MLH1_sp1,,,,,
23apr15_WSB_f1,,e18-21,"19apr15_MLH1, very low cell density, 19 good cells",15dec15_MLH1_sp2,4dec14_MLH1_sp3,,,
23apr15_WSB_f2,,e18-21,19apr15_MLH1 -- hard time finding slide,MLH1,,,,
23apr15_PWD_f1,23apr15_PWD_f1,neonate,"19apr15_MLH1, 11 good images. collect more",21oct15_DMC1_sp2,,,,
23apr15_PWD_f2,23apr15_PWD_f2,neonate,"19apr15_MLH1, 25 images",6sep15_DMC1_sp2,,,,
,,,,,,,,
17apr15_PWD_f1,17apr15_PWD_f1,neonate,21apr15_MLH1,6sep15_DMC1_sp2,,"40 images taken, ~25 average",,
17apr15_PWD_f2,,neonate,"21apr15_MLH1_sp1, ",31aug15_MLH1,DMC1,,,
17apr15_PWD_f3,,neonate,21apr15_MLH1 16 good cells + 30 cells,MLH1,DMC1,decent cells,,
