mouse	ID	strain	DOB	notes	female.stage	mouse.1	euth.date	age.days	age.weeks	subsp	sex	category
1feb18_KAZ_f5		KAZ	2/1/2018	neonate	neonate	1feb18_KAZ_f5	2/1/2018	0	0	Musc	female	KAZ female
1feb18_KAZ_f6		KAZ	2/1/2018	neonate	neonate	1feb18_KAZ_f6	2/1/2018	0	0	Musc	female	KAZ female
1feb18_LEW_f1		LEW	2/1/2018	neonate	neonate	1feb18_LEW_f1	2/1/2018	0	0	Dom	female	LEW female
11jan18_KAZ_f1		KAZ	1/11/2018	neonate	neonate	11jan18_KAZ_f1	1/11/2018	0	0	Musc	female	KAZ female
11jan18_KAZ_f2		KAZ	1/11/2018	neonate	neonate	11jan18_KAZ_f2	1/11/2018	0	0	Musc	female	KAZ female
11jan18_KAZ_f3		KAZ	1/11/2018	neonate	neonate	11jan18_KAZ_f3	1/11/2018	0	0	Musc	female	KAZ female
11jan18_SPIC_f1		SPIC	1/10/2018	neonate	neonate	11jan18_SPIC_f1	1/11/2018	1	0.142857143	Spic	female	SPIC female
11jan18_SPIC_f2		SPIC	1/10/2018	neonate	neonate	11jan18_SPIC_f2	1/11/2018	1	0.142857143	Spic	female	SPIC female
31dec17_MSM_f1		MSM	12/31/2017	neonate	neonate	31dec17_MSM_f1	12/31/2017	0	0	Musc	female	MSM female
31dec17_MSM_f2		MSM	12/31/2017	neonate	neonate	31dec17_MSM_f2	12/31/2017	0	0	Musc	female	MSM female
31dec17_MSM_f3		MSM	12/31/2017	neonate	neonate	31dec17_MSM_f3	12/31/2017	0	0	Musc	female	MSM female
31dec17_MSM_f4		MSM	12/31/2017	neonate	neonate	31dec17_MSM_f4	12/31/2017	0	0	Musc	female	MSM female
31dec17_MSM_f5		MSM	12/31/2017	neonate	neonate	31dec17_MSM_f5	12/31/2017	0	0	Musc	female	MSM female
31dec17_SPIC_f1		SPIC	12/31/2017	neonate	neonate	31dec17_SPIC_f1	12/31/2017	0	0	Spic	female	SPIC female
31dec17_SPIC_f2		SPIC	12/31/2017	neonate	neonate	31dec17_SPIC_f2	12/31/2017	0	0	Spic	female	SPIC female
4dec17_SPIC_f1		SPIC	NA	neonate	neonate	4dec17_SPIC_f1	12/4/2017	NA	NA	Spic	female	SPIC female
4dec17_SPIC_f2		SPIC	NA	neonate	neonate	4dec17_SPIC_f2	12/4/2017	NA	NA	Spic	female	SPIC female
30oct17_SPIC_f1		SPIC	10/30/2017	neonate	neonate	30oct17_SPIC_f1	10/30/2017	0	0	Spic	female	SPIC female
13oct17_WSB_f1		WSB	10/13/2017	neonate	neonate	13oct17_WSB_f1	10/13/2017	0	0	Dom	female	WSB female
13oct17_WSB_f2		WSB	10/13/2017	neonate	neonate	13oct17_WSB_f2	10/13/2017	0	0	Dom	female	WSB female
30may17_SPRET_f1		SPRET	5/30/2017	neonate	neonate	30may17_SPRET_f1	5/30/2017	0	0	Spretus	female	SPRET female
8may17_CAST_f1		CAST	5/8/2017	neonate	neonate	8may17_CAST_f1	5/8/2017	0	0	Cast	female	CAST female
17mar16_G_f1		G	3/17/2016	neonate 5	neonate	17mar16_G_f1	3/17/2016	0	0	Dom	female	G female
21aug17_SPI_f1		SPIC	8/21/2017	"neonate, recently died"	neonate	21aug17_SPI_f1	8/21/2017	0	0	Spic	female	SPIC female
21aug17_SPI_f2		SPIC	8/21/2017	"neonate, recently died"	neonate	21aug17_SPI_f2	8/21/2017	0	0	Spic	female	SPIC female
21aug17_SPI_f3		SPIC	8/21/2017	"neonate, recently died"	neonate	21aug17_SPI_f3	8/21/2017	0	0	Spic	female	SPIC female
4jan17_LEW_f1		LEW	1/4/2017	neonates	neonate	4jan17_LEW_f1	1/4/2017	0	0	Dom	female	LEW female
4jan17_LEW_f2		LEW	1/4/2017	neonates	neonate	4jan17_LEW_f2	1/4/2017	0	0	Dom	female	LEW female
4jan17_LEW_f3		LEW	1/4/2017	neonates	neonate	4jan17_LEW_f3	1/4/2017	0	0	Dom	female	LEW female
16jan16_G_f1		G	1/16/2016	neonates	neonate	16jan16_G_f1	1/16/2016	0	0	Dom	female	G female
23apr15_PWD_f1		PWD	4/23/2015	neonates	neonate	23apr15_PWD_f1	4/23/2015	0	0	Musc	female	PWD female
17apr15_PWD_f1		PWD	4/17/2015	neonates	neonate	17apr15_PWD_f1	4/17/2015	0	0	Musc	female	PWD female
4apr15_WSB_f2		WSB	4/4/2015	neonates	neonate	4apr15_WSB_f2	4/4/2015	0	0	Dom	female	WSB female
12sep16_MSM_f1		MSM	9/12/2016	(from founders 2 x 2	neonate	12sep16_MSM_f1	9/12/2016	0	0	Musc	female	MSM female
9oct17_LEW_f1		LEW	10/9/2017	10oct17_LEW_f1	neonate	10oct17_LEW_f1	10/9/2017	0	0	Dom	female	LEW female
31may19_SKIVE_f1		SKIVE	5/30/2019		neonate		5/31/2019	1	0.142857143	other	female	SKIVE female
31may19_SKIVE_f2		SKIVE	5/30/2019		neonate		5/31/2019	1	0.142857143	other	female	SKIVE female
31may19_SKIVE_f3		SKIVE	5/30/2019		neonate		5/31/2019	1	0.142857143	other	female	SKIVE female
31may19_SKIVE_f4		SKIVE	5/31/2019		neonate		5/31/2019	0	0	other	female	SKIVE female
31may19_SKIVE_f5		SKIVE	5/31/2019		neonate		5/31/2019	0	0	other	female	SKIVE female
31may19_SKIVE_f6		SKIVE	5/31/2019		neonate		5/31/2019	0	0	other	female	SKIVE female
23may19_SKIVE_f1		SKIVE	5/23/2019		neonate		5/23/2019	0	0	other	female	SKIVE female
23may19_SKIVE_f2		SKIVE	5/22/2019		neonate		5/23/2019	1	0.142857143	other	female	SKIVE female
23may19_SKIVE_f3		SKIVE	5/22/2019		neonate		5/23/2019	1	0.142857143	other	female	SKIVE female
1mar19_MOLF_f1		MOLF	2/26/2019		neonate		3/1/2019	3	0.428571429	other	female	MOLF female
1mar19_MOLF_f2		MOLF	2/26/2019		neonate		3/1/2019	3	0.428571429	other	female	MOLF female
1mar19_MOLF_f3		MOLF	2/26/2019		neonate		3/1/2019	3	0.428571429	other	female	MOLF female
1mar19_MOLF_f4		MOLF	2/27/2019		neonate		3/1/2019	2	0.285714286	other	female	MOLF female
1mar19_LEW_f1		LEW	3/1/2019		neonate		3/1/2019	0	0	Dom	female	LEW female
1mar19_LEW_f2		LEW	3/1/2019		neonate		3/1/2019	0	0	Dom	female	LEW female
1mar19_LEW_f3		LEW	3/1/2019		neonate		3/1/2019	0	0	Dom	female	LEW female
28aug18_LEW_f1		LEW	8/27/2018		neonate	28aug18_LEW_f1	8/28/2018	1	0.142857143	Dom	female	LEW female
28aug18_MSM_f1		MSM	8/27/2018		neonate	28aug18_MSM_f1	8/28/2018	1	0.142857143	Musc	female	MSM female
28aug18_CZECH_f1		CZECH	8/27/2018		neonate	28aug18_CZECH_f1	8/28/2018	1	0.142857143	other	female	CZECH female
28aug18_CZECH_f2		CZECH	8/27/2018		neonate	28aug18_CZECH_f2	8/28/2018	1	0.142857143	other	female	CZECH female
28aug18_CZECH_f3		CZECH	8/27/2018		neonate	28aug18_CZECH_f3	8/28/2018	1	0.142857143	other	female	CZECH female
3jul18_SKIVE_f1		SKIVE	7/2/2018		neonate	3jul18_SKIVE_f1	7/3/2018	1	0.142857143	other	female	SKIVE female
3jul18_SKIVE_f2		SKIVE	7/2/2018		neonate	3jul18_SKIVE_f2	7/3/2018	1	0.142857143	other	female	SKIVE female
8jun18_SKIVE_f1		SKIVE	6/7/2018		neonate	8jun18_SKIVE_f1	6/8/2018	1	0.142857143	other	female	SKIVE female
8jun18_SKIVE_f2		SKIVE	6/7/2018		neonate	8jun18_SKIVE_f2	6/8/2018	1	0.142857143	other	female	SKIVE female
8jun18_SKIVE_f3		SKIVE	6/7/2018		neonate	8jun18_SKIVE_f3	6/8/2018	1	0.142857143	other	female	SKIVE female
30may18_SPIC_f1		SPIC	5/30/2018		neonate	30may18_SPIC_f1	5/30/2018	0	0	Spic	female	SPIC female
30may18_SPIC_f2		SPIC	5/30/2018		neonate	30may18_SPIC_f2	5/30/2018	0	0	Spic	female	SPIC female
30may18_SPIC_f3		SPIC	5/30/2018		neonate	30may18_SPIC_f3	5/30/2018	0	0	Spic	female	SPIC female
30may18_SPIC_f4		SPIC	5/30/2018		neonate	30may18_SPIC_f4	5/30/2018	0	0	Spic	female	SPIC female
30may18_SPIC_f5		SPIC	5/30/2018		neonate	30may18_SPIC_f5	5/30/2018	0	0	Spic	female	SPIC female
13jul17_MSM_f1		MSM	7/13/2017		neonate	13jul17_MSM_f1	7/13/2017	0	0	Musc	female	MSM female
13jul17_MSM_f2		MSM	7/13/2017		neonate	13jul17_MSM_f2	7/13/2017	0	0	Musc	female	MSM female
10apr17_LxP.F1_f1		other	4/10/2017		neonate	10apr17_LxP.F1_f1	4/10/2017	0	0	other	female	other
10apr17_LxP.F1_f2		other	4/10/2017		neonate	10apr17_LxP.F1_f2	4/10/2017	0	0	other	female	other
10apr17_LxP.F1_f3		other	4/10/2017		neonate	10apr17_LxP.F1_f3	4/10/2017	0	0	other	female	other
1mar17_CAST_f1		CAST	3/1/2017		neonate	1mar17_CAST_f1	3/1/2017	0	0	Cast	female	CAST female
19dec16_MSM_f1		MSM	12/19/2016		neonate	19dec16_MSM_f1	12/19/2016	0	0	Musc	female	MSM female
19dec16_MSM_f2		MSM	12/19/2016		neonate	19dec16_MSM_f2	12/19/2016	0	0	Musc	female	MSM female
13nov16_MSM_f2		MSM	11/13/2016		neonate	13nov16_MSM_f2	11/13/2016	0	0	Musc	female	MSM female
30sep16_MSM_f1		MSM	9/30/2016		neonate	30sep16_MSM_f1	9/30/2016	0	0	Musc	female	MSM female
30sep16_MSM_f2		MSM	9/30/2016		neonate	30sep16_MSM_f2	9/30/2016	0	0	Musc	female	MSM female
30sep16_MSM_f3		MSM	9/30/2016		neonate	30sep16_MSM_f3	9/30/2016	0	0	Musc	female	MSM female
12sep16_MSM_f2		MSM	9/12/2016		neonate	12sep16_MSM_f2	9/12/2016	0	0	Musc	female	MSM female
12sep16_MSM_f3		MSM	9/12/2016		neonate	12sep16_MSM_f3	9/12/2016	0	0	Musc	female	MSM female
4apr16_WSB_f2		WSB	NA		neonate	4apr16_WSB_f2	4/4/2016	NA	NA	Dom	female	WSB female
4apr16_WSB_f1		WSB	NA		neonate	4apr16_WSB_f1	4/4/2016	NA	NA	Dom	female	WSB female
17mar16_G_f2		G	3/17/2016		neonate	17mar16_G_f2	3/17/2016	0	0	Dom	female	G female
17mar16_G_f3		G	3/17/2016		neonate	17mar16_G_f3	3/17/2016	0	0	Dom	female	G female
17mar16_G_f4		G	3/17/2016		neonate	17mar16_G_f4	3/17/2016	0	0	Dom	female	G female
17mar16_G_f5		G	3/17/2016		neonate	17mar16_G_f5	3/17/2016	0	0	Dom	female	G female
16jan16_G_f2		G	1/16/2016		neonate	16jan16_G_f2	1/16/2016	0	0	Dom	female	G female
16jan16_G_f3		G	1/16/2016		neonate	16jan16_G_f3	1/16/2016	0	0	Dom	female	G female
24nov15_WSB_f2		WSB	11/24/2015		neonate	24nov15_WSB_f2	11/24/2015	0	0	Dom	female	WSB female
3nov15_WSB_f1		WSB	11/3/2015		neonate	3nov15_WSB_f1	11/3/2015	0	0	Dom	female	WSB female
16jun15_WSB_f2		WSB	NA		neonate	16jun15_WSB_f2	6/16/2015	NA	NA	Dom	female	WSB female
8jun15_G_f2		G	NA		neonate	8jun15_G_f2	6/8/2015	NA	NA	Dom	female	G female
8jun15_G_f3		G	NA		neonate	8jun15_G_f3	6/8/2015	NA	NA	Dom	female	G female
8jun15_G_f4		G	NA		neonate	8jun15_G_f4	6/8/2015	NA	NA	Dom	female	G female
23apr15_PWD_f2		PWD	4/23/2015		neonate	23apr15_PWD_f2	4/23/2015	0	0	Musc	female	PWD female
17apr15_PWD_f2		PWD	4/17/2015		neonate	17apr15_PWD_f2	4/17/2015	0	0	Musc	female	PWD female
17apr15_PWD_f3		PWD	4/17/2015		neonate	17apr15_PWD_f3	4/17/2015	0	0	Musc	female	PWD female
17apr15_PWD_f4		PWD	4/17/2015		neonate	17apr15_PWD_f4	4/17/2015	0	0	Musc	female	PWD female
4apr15_WSB_f1		WSB	4/4/2015		neonate	4apr15_WSB_f1	4/4/2015	0	0	Dom	female	WSB female
13oct14_G_f1		G	NA		neonate	13oct14_G_f1	10/13/2014	NA	NA	Dom	female	G female
13oct14_G_f2		G	NA		neonate	13oct14_G_f2	10/13/2014	NA	NA	Dom	female	G female
13oct14_G_f3		G	NA		neonate	13oct14_G_f3	10/13/2014	NA	NA	Dom	female	G female
13oct14_G_f4		G	NA		neonate	13oct14_G_f4	10/13/2014	NA	NA	Dom	female	G female
8oct14_PWD_f1		PWD	10/8/2014		neonate	8oct14_PWD_f1	10/8/2014	0	0	Musc	female	PWD female
8oct14_PWD_f2		PWD	10/8/2014		neonate	8oct14_PWD_f2	10/8/2014	0	0	Musc	female	PWD female
8oct14_PWD_f3		PWD	10/8/2014		neonate	8oct14_PWD_f3	10/8/2014	0	0	Musc	female	PWD female
8oct14_PWD_f4		PWD	10/8/2014		neonate	8oct14_PWD_f4	10/8/2014	0	0	Musc	female	PWD female
8oct14_PWD_f5		PWD	10/8/2014		neonate	8oct14_PWD_f5	10/8/2014	0	0	Musc	female	PWD female
8oct14_PWD_f6		PWD	10/8/2014		neonate	8oct14_PWD_f6	10/8/2014	0	0	Musc	female	PWD female
8oct14_PWD_f7		PWD	10/8/2014		neonate	8oct14_PWD_f7	10/8/2014	0	0	Musc	female	PWD female
8oct14_PWD_f8		PWD	10/8/2014		neonate	8oct14_PWD_f8	10/8/2014	0	0	Musc	female	PWD female
8oct14_WSB_f1		WSB	10/8/2014		neonate	8oct14_WSB_f1	10/8/2014	0	0	Dom	female	WSB female
8oct14_WSB_f2		WSB	10/8/2014		neonate	8oct14_WSB_f2	10/8/2014	0	0	Dom	female	WSB female
8oct14_WSB_f3		WSB	10/8/2014		neonate	8oct14_WSB_f3	10/8/2014	0	0	Dom	female	WSB female
3jan16_G_m1	5046	G	11/30/2015	6.2		3jan16_G_m1	1/3/2016	34	4.857142857	Dom	male	G male
3jan16_G_m2	4718	G	8/12/2015	20		3jan16_G_m2	1/3/2016	144	20.57142857	Dom	male	G male
22feb16_G_m1	5068	G	12/20/2015	(DB 12/20/15)		22feb16_G_m1	2/22/2016	64	9.142857143	Dom	male	G male
20dec18_PWD_m1		PWD	NA	(juvi)			12/20/2018	NA	NA	Musc	male	PWD male
30jun16_CAST_m3		CAST	11/24/2015	~21w		30jun16_CAST_m3	6/30/2016	219	31.28571429	Cast	male	CAST male
30jun16_CAST_m1		CAST	4/27/2016	~9w		30jun16_CAST_m1	6/30/2016	64	9.142857143	Cast	male	CAST male
30jun16_CAST_m2		CAST	4/27/2016	~9w		30jun16_CAST_m2	6/30/2016	64	9.142857143	Cast	male	CAST male
9oct17_MSM_m1		MSM	6/19/2017	10oct17_MSM_m1		10oct17_MSM_m1	10/9/2017	112	16	Musc	male	MSM male
9oct17_MSM_m2		MSM	3/12/2017	10oct17_MSM_m2		10oct17_MSM_m2	10/9/2017	211	30.14285714	Musc	male	MSM male
9oct17_WSB_m1		WSB	8/3/2016	10oct17_WSB_m1		10oct17_WSB_m1	10/9/2017	432	61.71428571	Dom	male	WSB male
22jun15_G_m1	4441	G	4/2/2015	11 weeks		22jun15_G_m1	6/22/2015	81	11.57142857	Dom	male	G male
22jun15_G_m2	4459	G	4/3/2015	11 weeks		22jun15_G_m2	6/22/2015	80	11.42857143	Dom	male	G male
14mar15_G_m1	2939	G	4/12/2014	11months		14mar15_G_m1	3/14/2015	336	48	Dom	male	G male
6mar16_G_m1	5067	G	12/20/2015	11w		6mar16_G_m1	3/6/2016	77	11	Dom	male	G male
6mar16_G_m2	5064	G	12/20/2015	11w		6mar16_G_m2	3/6/2016	77	11	Dom	male	G male
6mar16_G_m3	5066	G	12/20/2015	11w		6mar16_G_m3	3/6/2016	77	11	Dom	male	G male
12Feb17_LEW_m1		LEW	2/1/2017	12.5 days		12Feb17_LEW_m1	2/12/2017	11	1.571428571	Dom	male	LEW male
12Feb17_LEW_m2		LEW	2/1/2017	12.5 days		12Feb17_LEW_m2	2/12/2017	11	1.571428571	Dom	male	LEW male
30sep14_G_m1		G	9/17/2014	12.5 days		30sep14_G_m1	9/30/2014	13	1.857142857	Dom	male	G male
30sep14_G_m2		G	9/17/2014	12.5 days		30sep14_G_m2	9/30/2014	13	1.857142857	Dom	male	G male
30sep14_G_m3		G	9/17/2014	12.5 days		30sep14_G_m3	9/30/2014	13	1.857142857	Dom	male	G male
30sep14_G_m4		G	9/17/2014	12.5 days		30sep14_G_m4	9/30/2014	13	1.857142857	Dom	male	G male
30sep14_G_m5		G	9/17/2014	12.5 days		30sep14_G_m5	9/30/2014	13	1.857142857	Dom	male	G male
16sep15_WSB_m1		WSB	6/14/2015	13 weeks		16sep15_WSB_m1	9/16/2015	94	13.42857143	Dom	male	WSB male
9oct17_LEW_m1		LEW	7/11/2017	"13w, 10oct17_LEW_m1"		10oct17_LEW_m1	10/9/2017	90	12.85714286	Dom	male	LEW male
9oct17_LEW_m2		LEW	7/11/2017	"13w, 10oct17_LEW_m2"		10oct17_LEW_m2	10/9/2017	90	12.85714286	Dom	male	LEW male
9oct17_LEW_m3		LEW	7/11/2017	"13w, 10oct17_LEW_m3"		10oct17_LEW_m3	10/9/2017	90	12.85714286	Dom	male	LEW male
9oct17_SPRET_m1		SPRET	6/20/2017	"16w, 10oct17_SPRET_m1"		10oct17_SPRET_m1	10/9/2017	111	15.85714286	Spretus	male	SPRET male
24apr15_WSB_m1		WSB	11/26/2014	21 w		24apr15_WSB_m1	4/24/2015	149	21.28571429	Dom	male	WSB male
12oct15_G_m1	4523	G	5/16/2015	21 weeks		12oct15_G_m1	10/12/2015	149	21.28571429	Dom	male	G male
24mar15_G_m1	4105	G	9/5/2014	"28, 12"		24mar15_G_m1	3/24/2015	200	28.57142857	Dom	male	G male
12oct15_WSB_m1		WSB	2/12/2015	34 weeks		12oct15_WSB_m1	10/12/2015	242	34.57142857	Dom	male	WSB male
11jan18_KAZ_m1		KAZ	3/15/2017	43w		11jan18_KAZ_m1	1/11/2018	302	43.14285714	Musc	male	KAZ male
24apr15_PWD_m1		PWD	3/23/2015	5w		24apr15_PWD_m1	4/24/2015	32	4.571428571	Musc	male	PWD male
18may15_WSB_m1		WSB	3/19/2015	"8-10 weeks
"		18may15_WSB_m1	5/18/2015	60	8.571428571	Dom	male	WSB male
18may15_PWD_m1		PWD	3/30/2015	"8-10 weeks
"		18may15_PWD_m1	5/18/2015	49	7	Musc	male	PWD male
18may15_PWD_m2		PWD	3/30/2015	"8-10 weeks
"		18may15_PWD_m2	5/18/2015	49	7	Musc	male	PWD male
11jan18_KAZ_m2		KAZ	11/4/2017	9w		11jan18_KAZ_m2	1/11/2018	68	9.714285714	Musc	male	KAZ male
11jan18_KAZ_m3		KAZ	11/4/2017	9w		11jan18_KAZ_m3	1/11/2018	68	9.714285714	Musc	male	KAZ male
11jan18_KAZ_m4		KAZ	11/4/2017	9w		11jan18_KAZ_m4	1/11/2018	68	9.714285714	Musc	male	KAZ male
5jul17_SPRET_m1	founder?	SPRET	NA	arrived 12/5/16		5jul17_SPRET_m1	7/5/2017	NA	NA	Spretus	male	SPRET male
1apr16_WSB_m1		WSB	10/19/2015	BD 10/19/15		1apr16_WSB_m1	4/1/2016	165	23.57142857	Dom	male	WSB male
6mar16_PWD_m1		PWD	1/11/2016	DB 11jan16  7 weeks		6mar16_PWD_m1	3/6/2016	55	7.857142857	Musc	male	PWD male
31aug16_MSM_m1		MSM	6/28/2016	DB 6/28/16 parents MSM 1 founder		31aug16_MSM_m1	8/31/2016	64	9.142857143	Musc	male	MSM male
31aug16_MSM_m2		MSM	6/28/2016	DB 6/28/16 parents MSM 1 founder		31aug16_MSM_m2	8/31/2016	64	9.142857143	Musc	male	MSM male
12sep17_PWD_m1		PWD	8/31/2017	juvinile		12sep17_PWD_m1	9/12/2017	12	1.714285714	Musc	male	PWD male
12sep17_PWD_m2		PWD	8/31/2017	juvinile		12sep17_PWD_m2	9/12/2017	12	1.714285714	Musc	male	PWD male
12sep17_PWD_m3		PWD	8/31/2017	juvinile		12sep17_PWD_m3	9/12/2017	12	1.714285714	Musc	male	PWD male
13sep17_LEW_m1		LEW	9/1/2017	juvinile		13sep17_LEW_m1	9/13/2017	12	1.714285714	Dom	male	LEW male
13sep17_LEW_m2		LEW	9/1/2017	juvinile		13sep17_LEW_m2	9/13/2017	12	1.714285714	Dom	male	LEW male
13sep17_LEW_m3		LEW	9/1/2017	juvinile		13sep17_LEW_m3	9/13/2017	12	1.714285714	Dom	male	LEW male
22aug17_MAD_m3		other	NA	juvinille		22aug17_MAD_m3	8/22/2017	NA	NA	other	male	other
24aug17_MAD_m6		other	NA	mature		24aug17_MAD_m6	8/24/2017	NA	NA	other	male	other
24aug17_MAD_m7		other	NA	mature		24aug17_MAD_m7	8/24/2017	NA	NA	other	male	other
22aug17_MAD_m1		other	NA	mature		22aug17_MAD_m1	8/22/2017	NA	NA	other	male	other
31may19_SKIVE_m2		SKIVE	2/8/2019	might be a duplicate name (duplicate name?)			5/31/2019	112	16	other	male	SKIVE male
