row.name,chr1,chr2,chr3,chr4,chr5,chr6,chr7,chr8,chr9,chr10,chr11,chr12,chr13,chr14,chr15,chr16,chr17,chr18,chr19,chr20,chr21,chr22
11,58.40420605,54.22410559,44.39153,40.37996727,35.43185942,36.80555613,40.75779208,28.08938805,37.46798004,32.78155517,39.57726816,35.80672049,23.18781897,21.39685579,22.00644826,25.04819733,24.3522037,16.76789322,26.49391309,15.55236004,9.297014858,13.63121692
12,90.74559187,71.20230047,60.07142,60.73588104,60.10211551,61.04376671,59.55879718,43.16263457,54.59351548,39.99108133,44.2408563,47.90989564,32.87139375,34.71471205,29.07335203,32.25030353,38.20923432,24.44845932,35.72706979,21.92628949,11.23011616,17.52211918
13,62.29250974,67.2730071,56.963,45.68409522,44.73614605,45.36054402,54.29237762,36.78351327,41.83910986,39.11701414,35.28385731,38.19544761,32.83275919,30.90907573,25.95060535,28.86012103,31.21825804,20.39977722,25.71371465,17.92440814,11.54671578,14.25721056
14,84.30235308,64.53707174,58.16996,36.27605099,51.94953566,47.51918382,47.99309225,36.50230131,44.55083247,33.75517251,39.48446583,38.94580483,27.35641638,30.56070315,27.26575748,30.87022947,29.36874763,18.59002072,25.84873978,17.86124857,9.960841251,14.64135979
15,70.98269211,59.78060189,51.77634,39.57859126,54.2939918,45.68301027,42.23749567,35.16946197,45.31976604,34.19036699,33.34395262,37.94937722,23.06433921,26.61415654,25.02179087,24.58212431,28.90169287,18.01123269,25.58657255,18.93955233,10.25200293,16.54964501
16,92.86969873,60.35207581,52.74538,55.89462685,53.85824162,63.65088494,50.08883181,37.12704329,52.51569071,42.5823488,50.00370347,41.39166346,27.62156588,35.69290731,29.0374166,29.87771825,45.62495259,27.38549815,27.44016869,20.22042555,11.22105821,20.95884839
17,67.96041116,63.68242767,58.1561,45.78346012,46.23209732,40.08528614,50.74784212,49.00452382,45.18586818,36.33524654,38.48899086,36.57242568,26.83011314,31.22238612,22.46841703,27.85551666,27.34456139,19.4855592,25.42306104,18.43060289,9.40727683,14.80792237
18,63.36242239,67.35511877,51.59526,47.82754581,53.08380395,55.9377335,44.75406084,32.70632363,42.06440755,30.99343667,36.50632354,35.94392609,21.23578938,25.4060883,29.91323029,26.95607238,29.00007868,19.69440016,24.47650113,19.25026945,11.65381025,13.02972713
19,55.86144347,63.42415829,39.81066,31.39285449,43.94757766,41.15734222,36.54675752,22.53655939,31.19920538,35.90677341,25.59261383,29.69613582,19.5208516,21.15662029,20.61536335,20.40087805,22.79445301,15.82406418,24.77963158,15.05348468,7.595231359,12.13565729
20,79.7549597,67.52143261,49.71085,66.1919804,77.814367,50.42762513,56.34953555,38.40507978,44.50206296,41.0639048,39.73987731,40.03024513,29.97443696,27.90362462,34.02339161,26.9278374,29.26149704,23.46963161,41.40283043,19.64698285,10.36064278,13.66611504
21,96.14503604,78.54482477,60.0218,58.73820974,50.16096729,42.51264782,45.34077689,44.63085364,57.96387793,46.08070807,49.38518007,45.00560886,28.93572304,30.80478888,42.87218737,28.70904932,33.88819711,19.54867378,26.46620735,17.85627901,14.20806793,15.92513325
22,63.61029219,60.93011231,47.15128,40.78742955,49.82915995,43.35231438,42.23320882,32.5295573,35.94548735,34.66244954,33.67472795,37.43987737,23.49076154,24.87901766,23.55094148,26.6478427,24.88341564,18.08668387,24.06276999,17.35764975,9.84719214,14.21397425
23,100.0649089,84.93439858,61.68547,57.24651886,66.98605289,58.53077392,54.84445488,38.64337033,43.52376185,40.38602707,53.80926041,43.20330671,31.74543453,30.72757269,32.05445807,44.31907805,40.48909666,24.05542943,27.93963944,21.27711777,12.60212195,24.96763369
24,84.48451767,75.03431943,68.13289,51.92622261,46.46803275,48.90171885,42.64387301,46.08197824,40.9429998,40.03066852,37.27986149,44.40695844,25.27881124,34.29737943,31.23342078,29.39878203,28.22032215,19.95468065,37.94929784,21.19614662,11.93621829,15.89646693
25,76.82352288,56.60079249,34.90654,38.64360848,43.68973168,37.27110256,37.90105756,37.17689775,43.70388886,37.01801974,35.48099941,31.29952293,25.09699331,24.08122196,23.35062923,23.56744055,26.89073764,16.18839601,26.47986176,17.25656216,8.910579303,14.19576044
26,80.21860086,79.69113329,75.60447,53.45043533,52.05236709,54.64863588,63.10314745,46.18745588,40.85038271,49.30783157,46.36914415,57.1434228,32.44292062,28.13667569,31.37041469,28.40637666,41.92228001,21.05255043,27.38533937,20.78576028,13.98132012,18.54899664
27,73.5478151,67.12733365,59.29701,59.01365298,39.62881619,46.71010736,40.43929513,39.48811759,35.59232515,35.99335716,35.34786895,33.66644533,26.32861011,30.51722604,30.23193893,26.82376225,40.82950417,19.3904044,26.6044979,19.22518609,12.36953397,15.12687711
28,84.35503897,63.58639698,55.20484,44.04024768,65.96636517,46.65421956,39.43225626,33.49912594,32.41783462,38.84223245,39.91450022,36.14853048,26.83088054,25.92171147,27.37282284,26.55996231,27.74003637,19.18315116,28.0377871,18.79401383,10.79223578,12.13995207
29,95.24516837,84.72720091,72.52728,50.01600831,71.26824384,63.34596301,47.36123198,37.49563286,43.35146759,38.87017635,44.58573589,49.17131397,29.95427289,29.64387332,29.85178546,26.57266408,39.95390218,19.36994131,31.30161343,22.89648529,11.59998649,14.80588215
30,96.4425486,70.47708218,53.36801,50.51256824,60.62968893,64.61693413,60.54442828,41.27824721,42.17972907,55.30015743,41.73003339,40.69592386,30.76133823,29.84543458,31.37814161,45.91505578,30.04580504,24.89136484,33.63074806,20.38198151,12.49708358,15.49474162
31,75.54696827,76.40036862,57.60923,53.31084814,60.29616155,62.82317921,54.27401297,42.81788729,55.83810397,43.07718869,45.86057047,46.00293617,28.72751981,28.32683181,29.40889053,27.64908639,31.31735833,20.66965549,29.19076405,19.63431283,12.32186263,13.93742491
32,71.21696043,46.34315844,57.76824,43.03569623,45.57665939,38.45170587,59.29063101,32.63056285,36.50603246,34.10648237,42.57777087,35.63294436,24.19804652,24.82791948,27.61442114,23.17892243,25.48004966,19.1770305,25.24871863,17.83836686,11.0573059,13.57883534
33,67.83490177,72.47223958,45.12474,40.68666215,45.59129289,36.247816,39.92572012,34.00857287,44.16091452,34.66591607,40.34540786,35.77986153,23.33767342,25.73045188,26.10333358,25.12870275,27.21394483,17.59990166,25.47433122,17.54412236,10.19965839,13.11760487
34,87.88621115,67.35069961,57.90873,52.12259731,43.87710928,52.63850097,46.11336221,36.15654848,36.56332274,37.56252886,42.31262136,47.79309225,30.24321176,30.77792992,38.20203665,31.67864438,30.34469363,21.88961577,35.03789277,18.10848858,12.29807591,10.21203204
35,73.98091909,71.1715516,51.63715,38.50066062,52.78946683,40.74019483,42.18417469,29.46488418,54.72143292,39.38338089,42.31778146,36.97104965,25.29039367,29.85800404,34.08308994,27.40230153,31.57581294,17.23218799,27.24249736,18.71793551,10.48163245,15.50282577
36,69.60320022,59.63532536,55.93773,39.44860979,50.2837511,52.70822841,36.41230396,34.98290468,39.05686595,30.86438136,40.34546078,38.48465109,23.57977186,26.41800942,27.73990406,25.17151302,29.38684766,17.11369633,23.3997057,17.63831923,9.708007174,13.285734
37,97.50124135,81.04842355,60.3579,71.26739706,58.64014147,51.9623962,50.17467462,42.26805931,44.17290181,43.34866262,45.65080599,40.22974234,29.84898049,25.0991235,33.1671069,30.93072166,29.81211889,21.4351437,38.00478871,19.83068224,11.21146837,16.99162965
38,87.49851601,78.90394093,67.70328,57.56115235,78.23095868,57.39867551,56.9966644,38.76017371,39.2137593,40.43458489,49.00513245,39.58697972,27.48618616,0.950015854,31.82018976,30.66176163,34.89984038,21.30917916,33.48896452,19.29091512,10.5916351,16.53944125
39,82.4197916,87.11645727,51.55869,59.53553706,46.45697162,47.73490226,66.07258374,39.88729726,52.91783412,55.18338051,39.96533378,40.82987464,32.43270628,30.1087582,30.0346116,39.72376194,37.88438649,20.86152106,37.1268316,27.98904404,13.21265382,16.19073261
40,106.9165362,98.35858454,70.01723,54.5407502,67.79264191,54.03156789,60.28356562,48.48700597,48.23453178,47.72680488,43.95406086,55.33191186,30.49618873,42.66427523,50.05077942,39.69692944,41.19502414,25.7959745,30.75220883,22.58008413,11.45896241,17.00876381
41,96.95207492,64.66398361,72.23548,54.6180987,60.72799535,51.39028719,53.2742247,34.9428941,42.21256844,35.69094912,40.93140943,48.7683767,25.88866833,29.23858093,28.04898053,37.37628912,29.16615436,21.35764172,22.51447154,19.40641922,11.87538209,17.62849388
42,86.27901352,79.37443576,59.30947,65.58930775,53.67517732,78.20579329,51.95509268,50.25837401,50.98695299,39.4169612,44.17578618,48.97642115,27.85959181,32.1284459,28.9859215,29.42945152,33.24172981,24.74745905,29.65318796,20.59764173,13.44836167,16.88914222
43,100.467661,88.59912461,61.28362,53.93506088,52.41741074,66.04072346,48.41730499,41.99835834,51.29891381,36.80399487,41.02251819,60.5350078,29.49335732,33.16416961,38.03201813,34.05504019,41.83614612,21.22118498,29.55453752,21.0350458,10.61138635,13.81521004
44,123.8050248,86.92923843,83.0349,71.68441213,89.56829632,77.04244322,98.35831992,60.61651084,59.98465057,50.17657989,66.8033326,49.14704829,36.49370115,33.48338104,46.26948816,34.52386791,41.617067,27.55226184,36.76501631,27.75501388,13.92939897,20.62678436
45,85.94236362,64.84569835,62.29418,56.19153079,55.74366099,53.19891377,53.89250994,52.80555575,44.83630481,42.44159728,54.22619609,44.01135114,33.30632362,29.36033271,33.84003623,32.496665,36.81272734,26.81624703,30.41172194,19.99079073,11.33582137,16.41378367
46,60.79068389,64.53249381,42.8032,34.68422779,51.57303395,38.36049126,35.56192028,30.00833481,32.47964991,32.01225114,33.97139373,32.45559593,20.77053138,22.50089123,23.1488748,23.72538974,37.96260824,16.43443993,25.80285198,16.39332853,9.305763204,12.65643261
47,88.25128127,67.71754268,53.32612,49.30904882,58.43953285,44.3963207,51.98782621,33.7464665,46.04879486,36.04860987,37.23593453,40.20656161,26.49528912,29.88462484,31.65451101,28.99550075,28.36967383,23.54390258,26.23519651,16.77903638,12.22608597,14.74156619
48,106.5454592,99.51979119,59.562,60.36374556,63.69415035,60.94127929,55.72939796,50.70640258,46.55122936,47.0111923,56.78793194,57.24953553,35.80979008,44.50891662,40.46887968,40.7508061,39.27136714,25.8454532,33.98078775,23.0492585,12.72951544,19.35188892
49,92.23834124,79.33299623,63.70656,49.4781147,67.993277,64.14421649,54.0868206,38.35638965,35.32654056,37.77210811,54.59211299,46.69896685,28.69732664,30.67435755,28.0174378,28.1227302,30.40322763,21.29710718,27.96999138,19.25866055,11.45872955,15.91521793
50,91.25027564,85.45644143,58.76404,50.75255236,60.81166828,48.17282233,50.17184319,40.73175345,45.35088538,37.59026106,40.1202954,34.4944686,32.82696401,29.82812841,30.03993047,33.85554297,36.20714387,22.00091241,32.33540541,20.33474415,13.82190758,16.15874266
51,93.55765849,82.17200118,66.22945,61.13418746,56.74006213,64.8777174,59.60783132,52.4581358,56.29690258,45.74207351,44.60645565,45.66369299,29.75056821,40.42796938,42.50669386,37.05580752,54.34662477,24.02319338,45.44506373,23.88845139,14.32393985,16.60821341
52,87.36170733,76.75445699,54.09831,64.77134006,71.59380615,56.28216323,46.53151515,49.66430152,51.05911493,39.62471457,40.54651926,45.96205234,35.21016057,27.80208983,33.65054166,27.58301071,28.93246821,21.90134109,29.05826868,18.04832187,10.55579757,15.45366197
53,97.85001086,95.08941289,58.37899,54.56760916,77.02460782,52.32069204,79.74643893,45.17811481,76.34403096,44.02243873,50.16795327,51.66845601,35.54506397,32.73887192,39.94699559,30.62228028,52.06385161,28.06083552,35.73680781,23.90243922,13.18010288,20.49076426
54,98.60388753,92.84029942,64.5611,58.80470882,69.65093771,59.53932113,66.75022331,39.90717024,55.94958848,44.39748503,45.33363214,43.32278276,40.29380691,37.86022666,34.5801791,32.51140435,35.39060512,21.38934587,42.49812017,5.78572095,13.36850457,17.6978191
55,73.19452059,63.62550785,67.22863,42.97292831,60.2595381,36.64749845,50.02418508,34.68928204,38.42024252,30.5676362,27.69645342,36.60396842,23.95897005,26.00096523,33.49004947,24.34823704,31.02643481,20.63805454,33.83826327,17.01437111,9.382926473,14.2325797
56,58.14678346,57.26176098,46.45276,42.96117917,40.66890613,40.26753012,38.16570429,32.1717907,33.5913461,26.72003111,33.35657501,32.78166102,23.78911295,25.99561461,25.6474405,24.59420687,25.78509067,18.78889079,23.38139134,16.94602235,10.69290263,14.18505655
57,70.02100915,59.21664318,66.71857,44.53379093,50.09333036,39.80309509,48.22013643,36.86065007,43.66652448,37.30269822,33.53492906,37.21328304,25.55909173,26.63400306,24.26156596,27.13339442,39.30359788,18.53908661,24.63671811,19.02143643,10.8974435,15.58248441
58,96.6953668,74.07509744,71.3978,62.66490983,56.33810395,54.28277191,47.71000149,42.0080699,55.68076076,40.62487332,45.70484144,45.83439952,24.58852282,30.70497412,29.77054704,32.41505611,34.76057074,22.3516454,31.46570445,23.01981156,11.80253478,19.16388416
59,59.59004883,66.06041121,51.56237,42.17279601,41.01518821,39.75067382,35.67615685,33.58608016,36.76342859,34.20592667,33.51180125,36.12360325,20.55380739,20.83381267,25.19004173,44.54228524,23.59882981,15.32097608,27.25726317,15.52807848,9.748422627,12.10148423
60,70.71849524,75.2977489,63.68708,49.19121342,40.80354492,39.28234888,45.92852495,32.42759911,46.37171097,33.60198384,33.48308995,46.1991521,22.55748027,24.53342624,30.75938004,25.38350296,25.35815763,17.02582388,25.8633971,18.66428375,9.779925669,12.56111639
61,81.88798426,71.55972306,54.65639,48.47684455,50.916564,55.58197801,54.88986371,42.10904899,47.93326161,39.98978469,43.55189098,41.44879497,31.77994101,28.3930398,45.77202853,30.36231734,38.24628116,19.60225674,39.460306,16.85007898,10.69028553,17.93947032
62,72.74479845,66.75419261,53.16364,44.02595818,41.04061822,42.50428582,47.11211847,31.67324612,43.83529928,57.28938734,41.02402653,35.52812827,28.16305833,27.75223537,26.44544789,37.37742699,32.47695079,20.03627101,25.70990411,18.20866058,10.76949167,15.28750426
63,81.81383766,71.11095356,48.7331,42.24276161,61.94937664,36.28396313,48.22251802,32.06194683,51.98163409,39.86109985,39.86234357,44.79624131,23.26913677,30.21368014,30.56403736,28.36387865,31.93635805,18.77825041,27.97845923,21.50436042,10.05530804,21.9273268
64,89.79933627,90.80372895,56.01728,49.40963098,50.17250474,57.74239077,61.12275586,45.85906213,40.80769946,37.94810705,42.85009158,49.07419833,29.28443962,33.1948391,27.96226447,27.15398188,37.5680065,20.03246313,37.49878184,20.5106293,10.22232841,17.84533167
65,55.51619342,72.17218666,58.14723,41.06493682,40.07626259,36.86615417,40.68790587,30.00883759,35.9729814,32.58772083,37.06652464,35.3116689,24.53486577,22.00187827,32.27589231,28.92108953,28.24673126,16.63077493,28.26954152,15.3889729,9.685824057,12.86735613
66,73.2077516,56.26848236,56.41352,46.69055193,37.82230657,38.83331475,47.9287366,30.86297888,34.90256597,32.13508787,38.80378313,35.37763873,22.93572847,24.82453499,25.68351618,30.46263488,27.06046508,16.98248967,25.02666253,16.67913958,9.37818977,14.88153179
67,71.56435392,61.01447325,61.94318,44.0173051,42.54471979,51.27094345,44.45437839,46.30486789,43.09491825,35.2835133,42.07149938,42.87798255,23.00759404,26.67753309,24.6923016,25.74452968,28.621116,19.03504055,22.98995446,17.95003661,10.03807861,14.50480515
68,62.79904585,56.20042203,41.87671,34.43204468,43.70460333,35.19883482,39.27448965,32.40298942,36.29706184,34.01240987,29.06168228,33.76726565,23.33359033,21.89773167,27.27660691,24.48134368,25.82985913,16.40329412,21.6685864,15.84120364,8.935768505,12.07542178
69,71.89896624,56.56705341,62.58013,38.33077441,45.22018943,31.02955733,37.58015257,32.42574677,40.14972118,33.78880574,34.19949639,35.96371969,19.79034088,22.58882189,24.26748552,23.58243129,34.93101265,16.72832984,22.11781105,17.46004192,10.72742763,13.29911849
70,70.27033437,64.380099,62.3276,35.64612245,46.57202851,41.85472246,44.58311615,31.83688729,45.51640535,31.53334139,45.56792692,38.179491,24.18114522,24.64456146,28.92545577,37.03664901,34.99372765,20.24545069,27.41426237,16.55305861,9.719007439,15.31612559
71,90.69899225,74.80997437,65.38608,48.92003057,65.65503943,67.84162312,50.43196491,41.21381218,47.53609305,40.55070026,48.47094352,50.09229834,35.18629182,34.87917354,41.49878174,22.57110027,39.88303687,22.52183857,36.37266384,26.46229097,10.59494285,16.45953916
72,84.52209374,102.9494815,62.50939,56.12836593,53.24482538,54.34630723,64.04858273,63.03302308,40.20664099,40.56205247,41.85263196,41.59520937,27.05453758,28.41132506,38.98258704,31.47282274,30.3806026,20.10994394,31.78740331,18.37383126,9.337649946,19.83441339
73,77.71878616,56.3842008,48.42106,42.09573859,39.6430263,38.65580748,44.37930562,31.76840357,37.60301576,38.9558604,33.02929266,39.76644519,25.41424654,27.54194165,24.37328599,24.54924524,32.430113,18.01533166,24.88799358,17.13430231,9.177509701,13.24255591
74,62.96191962,57.31412933,46.53186,39.65321418,42.95128237,42.72045411,38.23799854,33.32759909,37.48806472,34.8295837,36.20208962,42.69618843,24.60805974,25.34474667,28.70947271,25.26677102,26.57520444,16.95483685,26.44769716,17.69572595,9.777157741,13.31645906
75,59.69917823,48.85141453,46.8019,38.44588422,39.61921047,30.32865764,29.97131444,28.15591358,31.40550334,33.52384147,26.05063181,31.2082554,18.91554863,20.82564914,18.90761531,20.5640429,24.29407456,14.84050771,24.44482079,12.07563612,7.808761388,11.81715769
76,88.97443553,72.28510013,61.19119,54.81550542,64.41449963,61.71023931,44.195765,41.95297596,46.90211583,42.22233293,45.01124527,39.35869182,26.95514621,35.64334394,44.33289123,32.9574218,38.75845368,19.50644038,26.96271435,19.64040704,10.68998651,15.8772555
77,91.56461805,86.16808471,71.21341,54.67303387,70.34347541,50.13604007,53.78512704,45.29595021,64.34784179,37.50746138,36.41341537,40.3370194,34.50788485,42.36017362,32.0508857,39.894098,42.41140411,33.40235431,24.82685306,20.63255044,11.1660463,15.94179639
78,53.90370338,46.32339131,39.34038,36.31023992,42.46223766,39.49274845,32.08253428,25.53807824,32.51047818,30.1435293,23.82128283,28.17689797,17.56396888,21.21870814,16.49337616,23.59490813,16.85803611,15.62393982,13.2278933,15.53791971,7.65654652,12.66621562
79,73.40116255,77.62209391,56.30489,51.67224008,43.54522255,43.97049377,55.41968641,35.94882157,41.80775236,38.68020547,41.48803816,51.48420092,29.99468041,34.38242838,30.59674443,27.5868477,31.29732658,20.04342635,30.68621254,21.14531836,12.42449295,17.20369897
80,87.53167293,87.17948982,58.65038,43.93469065,53.7999987,42.85416673,46.90007825,43.8454607,48.09528859,45.08121087,45.16681552,39.75120306,27.78695355,27.21246296,35.85141485,29.99759123,31.16795373,23.30703569,33.87359008,20.90589259,11.9492085,21.05070603
81,94.54609456,74.29020725,70.33927,50.11603477,58.03193826,46.39605603,51.0275722,34.84297349,38.42304749,41.12458223,39.94593711,43.32585235,28.1776389,31.63543189,26.67933251,37.77927932,31.43588175,20.45294208,24.18266149,19.62547452,10.7668878,15.30406949
82,90.56506793,89.83090547,73.18886,61.81746344,62.04022078,66.82476684,50.97885561,40.23177992,47.32479377,48.26438094,40.45099135,56.43185891,29.86541341,29.61193366,33.97777107,40.84384659,40.9922721,21.78592961,32.62664647,25.53803061,14.31422564,20.90752
83,80.10161224,75.58176583,49.66351,54.980602,52.21013369,42.59870233,44.94170307,41.42815459,39.85408742,37.3682182,36.12360325,41.80195718,25.33788772,27.01653811,32.91280682,30.20904928,34.44395259,20.51063459,29.24043327,21.18975868,10.83240778,15.23491363
84,87.0121175,72.64212579,69.94088,66.96514789,55.1498002,49.69436238,56.63924181,44.68563004,50.55128218,40.36054414,42.65326703,46.7745424,30.62246552,39.06663044,32.41738477,35.33217697,30.57443694,22.53766021,27.4888059,22.83067158,13.26392929,17.78511468
85,97.66088676,72.16829674,64.15123,58.12519044,64.94125273,49.86909114,56.22339107,47.45101764,54.31161551,42.84307914,39.80796411,57.42278241,32.20960494,32.95546361,41.36610114,35.83548471,35.36962074,22.22309552,37.28679455,21.91908124,13.21411188,19.57379947
86,88.17935748,64.24244353,65.33689,47.21431481,50.85662751,59.54609541,59.03267917,38.96464579,47.22180357,40.50301569,39.88764127,45.28039054,29.8105047,37.18851458,34.10603252,36.44847755,44.73712514,23.15793011,30.83844858,17.75970055,12.03799653,18.65447163
87,102.4798864,88.60055356,88.50365,65.98136913,60.87623562,71.2996278,74.8421522,46.64710128,43.95276422,41.591981,63.15689183,57.39036643,33.73064221,34.90089886,45.86358714,33.10706456,30.63590823,20.69032498,33.31947524,19.72129616,18.49586883,18.09027212
88,96.70319956,74.84696828,74.19434,53.5589561,51.93704558,60.34855636,63.71730462,44.10992219,49.99933724,43.13233555,33.98224316,46.20780518,43.94860968,27.22770508,31.30394208,38.46594244,29.4326005,23.06860754,36.51291258,20.1507378,12.28510687,16.78280457
89,111.6537417,85.39888653,65.70733,64.53585448,66.86160198,59.71121845,69.32180303,52.67403948,47.90486785,44.87139346,48.68854076,46.34898009,33.48520692,40.5567336,42.77271661,37.61188054,42.82230645,22.3725451,36.84514333,24.1133892,13.78175674,22.67612541
90,99.1674493,87.63670071,64.41278,70.13551034,63.82720142,56.31907776,65.50203599,47.94442858,48.4965323,54.6867412,46.60492081,50.19528854,32.39782933,35.42053367,48.33180619,39.57038803,42.21164227,23.650399,34.21648501,27.04350292,15.21124864,23.00847523
91,118.842945,91.99023328,78.67983,55.14421671,66.93482241,57.11772817,62.6979609,46.58245455,55.20587323,42.6463869,45.67144637,46.74969455,31.51563829,31.46573091,41.33913634,38.980179,37.5218038,27.34599034,31.88327523,27.72765215,13.36320952,20.17398734
92,79.8482648,67.85024975,58.5195,50.60190404,54.91288568,46.34916532,59.35620391,41.22204187,49.05990884,43.54453454,37.41116607,42.89817308,31.01643217,33.71262157,33.50275124,34.82460884,35.81971334,23.91370675,31.20097834,20.09726334,13.58116929,16.4863055
93,86.41767454,72.05609775,62.10844,52.07935836,56.59203356,56.13828919,49.72182997,46.58412166,44.60103094,40.41764919,49.63879213,44.97562738,27.41852275,31.54011567,32.15453746,29.35736896,28.32161879,23.18441066,26.21273025,21.70849908,12.46137837,18.07329938
94,67.99732569,72.71238247,65.32014,45.63183271,46.34797453,40.49028746,40.76059705,39.51595564,44.50579411,41.53088018,36.06996473,40.0283134,24.19026668,26.92352409,30.8771096,27.26628672,33.94448185,19.78884578,26.10212162,17.56058968,11.39202407,14.54890677
95,73.84905881,61.2188924,47.58452,47.08713831,43.89311881,41.00627051,45.86533363,35.49134606,41.49174284,35.82370911,36.14371439,36.94712797,28.29290749,29.00301597,28.14625494,29.94636075,30.08060261,20.1091051,24.90520712,22.30297379,11.76902591,14.92846484
96,77.6879579,75.95644166,50.3666,57.58295706,44.79489174,56.49174248,44.5869796,36.10216901,46.41727858,36.0883823,44.19753796,35.32479406,22.75883247,27.84387337,33.82373562,33.38547154,33.77451625,20.19919507,28.02553518,21.61427309,11.46543238,17.4341647
97,71.91203848,71.35797657,54.01424,47.86109966,49.01717267,46.17139343,56.4972995,32.96618073,44.20769938,33.95908888,44.42683142,36.02561437,27.78851481,31.83641098,32.53492909,28.14165055,30.95948589,22.50284942,29.35022422,20.14980899,11.66150011,15.95564661
98,78.45109627,76.59960121,63.93001,49.92381461,54.51812517,47.48637091,50.94747164,34.95803038,36.41412984,39.7819784,45.54821271,41.18443933,31.87274334,25.74425182,32.8108751,26.03767336,30.21801991,18.52961321,26.80447143,18.96920039,11.44443476,16.74231238
99,78.1450894,79.27157786,65.21238,64.25204925,58.93868606,54.59237761,45.44471972,47.8283926,50.27893501,40.29878177,42.70396827,49.73876566,28.46244969,30.58573623,39.5699911,29.50142823,31.80293651,23.41069274,27.72278313,21.0958423,12.32182029,16.57748571
100,109.6917412,97.91087352,80.51008,59.55750054,62.38099875,66.41225031,58.32624892,50.76239623,52.09108103,45.40380943,39.58353966,46.04400524,33.14382031,33.88367211,34.3210894,34.25421986,36.10111053,30.88959968,32.89767054,23.23282294,13.68514918,20.80063988
101,77.05660041,78.45384832,54.95798,55.35750064,53.97004368,45.68253396,50.39695565,48.01362678,37.78539205,36.09737938,40.78782648,42.37054674,25.91798826,31.93410878,38.74913905,29.43662273,35.93162125,20.24721835,33.46406376,22.86160304,14.07144978,17.1936434
102,81.3581351,69.98949288,61.78351,48.85414012,45.46043817,45.64061811,47.73193851,42.2916899,44.85482823,36.59454794,31.2675568,41.62063937,27.25855981,29.85122976,31.15093865,36.88375142,32.71502964,22.59893568,31.94892751,21.10735329,12.17730852,17.28651982
103,95.6890424,90.93659478,80.04877,56.82233257,62.74583071,50.88414801,55.90542336,46.01002799,51.16708,45.48891131,56.38480943,46.04638682,31.54247079,33.22368271,35.59497135,30.84720751,35.7940981,23.11991476,37.81553229,22.35773431,13.01321217,21.45852555
104,82.98068071,76.64318417,58.71453,53.99830512,57.12357628,49.65996175,59.39928409,46.04051225,46.34175596,52.38094607,45.14030057,39.24559312,31.32998072,31.15363777,37.54686334,29.46771561,33.93619923,20.9654639,31.75519902,22.70318283,12.21819764,14.66817376
